Site Name ,WLR108A,,,,
Site Number ,108,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,4641,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,20/01/2017 , 10:55:00,2389,26.5
2,20/01/2017 , 11:00:00,2390,26.6
3,20/01/2017 , 11:05:00,2392,26.7
4,20/01/2017 , 11:10:00,2394,26.8
5,20/01/2017 , 11:15:00,2393,26.8
6,20/01/2017 , 11:20:00,2394,26.8
7,20/01/2017 , 11:25:00,2394,26.8
8,20/01/2017 , 11:30:00,2393,26.8
9,20/01/2017 , 11:35:00,2394,26.8
10,20/01/2017 , 11:40:00,2394,26.8
11,20/01/2017 , 11:45:00,2394,26.8
12,20/01/2017 , 11:50:00,2393,26.8
13,20/01/2017 , 11:55:00,2393,26.8
14,20/01/2017 , 12:00:00,2393,26.8
15,20/01/2017 , 12:05:00,2393,26.8
16,20/01/2017 , 12:10:00,2394,26.8
17,20/01/2017 , 12:15:00,2393,26.8
18,20/01/2017 , 12:20:00,2393,26.8
19,20/01/2017 , 12:25:00,2393,26.8
20,20/01/2017 , 12:30:00,2392,26.7
21,20/01/2017 , 12:35:00,2392,26.7
22,20/01/2017 , 12:40:00,2393,26.8
23,20/01/2017 , 12:45:00,2393,26.8
24,20/01/2017 , 12:50:00,2392,26.7
25,20/01/2017 , 12:55:00,2392,26.7
26,20/01/2017 , 13:00:00,2392,26.7
27,20/01/2017 , 13:05:00,2393,26.8
28,20/01/2017 , 13:10:00,2391,26.6
29,20/01/2017 , 13:15:00,2391,26.6
30,20/01/2017 , 13:20:00,2391,26.6
31,20/01/2017 , 13:25:00,2391,26.6
32,20/01/2017 , 13:30:00,2391,26.6
33,20/01/2017 , 13:35:00,2391,26.6
34,20/01/2017 , 13:40:00,2391,26.6
35,20/01/2017 , 13:45:00,2391,26.6
36,20/01/2017 , 13:50:00,2391,26.6
37,20/01/2017 , 13:55:00,2391,26.6
38,20/01/2017 , 14:00:00,2391,26.6
39,20/01/2017 , 14:05:00,2391,26.6
40,20/01/2017 , 14:10:00,2391,26.6
41,20/01/2017 , 14:15:00,2391,26.6
42,20/01/2017 , 14:20:00,2391,26.6
43,20/01/2017 , 14:25:00,2391,26.6
44,20/01/2017 , 14:30:00,2391,26.6
45,20/01/2017 , 14:35:00,2391,26.6
46,20/01/2017 , 14:40:00,2391,26.6
47,20/01/2017 , 14:45:00,2391,26.6
48,20/01/2017 , 14:50:00,2391,26.6
49,20/01/2017 , 14:55:00,2391,26.6
50,20/01/2017 , 15:00:00,2391,26.6
51,20/01/2017 , 15:05:00,2391,26.6
52,20/01/2017 , 15:10:00,2391,26.6
53,20/01/2017 , 15:15:00,2391,26.6
54,20/01/2017 , 15:20:00,2391,26.6
55,20/01/2017 , 15:25:00,2391,26.6
56,20/01/2017 , 15:30:00,2391,26.6
57,20/01/2017 , 15:35:00,2391,26.6
58,20/01/2017 , 15:40:00,2391,26.6
59,20/01/2017 , 15:45:00,2391,26.6
60,20/01/2017 , 15:50:00,2391,26.6
61,20/01/2017 , 15:55:00,2391,26.6
62,20/01/2017 , 16:00:00,2391,26.6
63,20/01/2017 , 16:05:00,2391,26.6
64,20/01/2017 , 16:10:00,2386,26.4
65,20/01/2017 , 16:15:00,2386,26.4
66,20/01/2017 , 16:20:00,2385,26.3
67,20/01/2017 , 16:25:00,2385,26.3
68,20/01/2017 , 16:30:00,2385,26.3
69,20/01/2017 , 16:35:00,2385,26.3
70,20/01/2017 , 16:40:00,2385,26.3
71,20/01/2017 , 16:45:00,2385,26.3
72,20/01/2017 , 16:50:00,2385,26.3
73,20/01/2017 , 16:55:00,2385,26.3
74,20/01/2017 , 17:00:00,2385,26.3
75,20/01/2017 , 17:05:00,2385,26.3
76,20/01/2017 , 17:10:00,2385,26.3
77,20/01/2017 , 17:15:00,2385,26.3
78,20/01/2017 , 17:20:00,2385,26.3
79,20/01/2017 , 17:25:00,2385,26.3
80,20/01/2017 , 17:30:00,2385,26.3
81,20/01/2017 , 17:35:00,2385,26.3
82,20/01/2017 , 17:40:00,2385,26.3
83,20/01/2017 , 17:45:00,2385,26.3
84,20/01/2017 , 17:50:00,2385,26.3
85,20/01/2017 , 17:55:00,2385,26.3
86,20/01/2017 , 18:00:00,2386,26.4
87,20/01/2017 , 18:05:00,2385,26.3
88,20/01/2017 , 18:10:00,2385,26.3
89,20/01/2017 , 18:15:00,2385,26.3
90,20/01/2017 , 18:20:00,2385,26.3
91,20/01/2017 , 18:25:00,2385,26.3
92,20/01/2017 , 18:30:00,2385,26.3
93,20/01/2017 , 18:35:00,2385,26.3
94,20/01/2017 , 18:40:00,2385,26.3
95,20/01/2017 , 18:45:00,2386,26.4
96,20/01/2017 , 18:50:00,2385,26.3
