Site Name ,WLR101,,,,
Site Number ,101,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,43859,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,22/01/2017 , 14:45:00,2468,22.58
2,22/01/2017 , 14:50:00,2468,22.58
3,22/01/2017 , 14:55:00,2467,22.52
4,22/01/2017 , 15:00:00,2468,22.58
5,22/01/2017 , 15:05:00,2468,22.58
6,22/01/2017 , 15:10:00,2468,22.58
7,22/01/2017 , 15:15:00,2468,22.58
8,22/01/2017 , 15:20:00,2468,22.58
9,22/01/2017 , 15:25:00,2468,22.58
10,22/01/2017 , 15:30:00,2468,22.58
11,22/01/2017 , 15:35:00,2468,22.58
12,22/01/2017 , 15:40:00,2468,22.58
13,22/01/2017 , 15:45:00,2467,22.52
14,22/01/2017 , 15:50:00,2467,22.52
15,22/01/2017 , 15:55:00,2467,22.52
16,22/01/2017 , 16:00:00,2467,22.52
17,22/01/2017 , 16:05:00,2468,22.58
18,22/01/2017 , 16:10:00,2467,22.52
19,22/01/2017 , 16:15:00,2468,22.58
20,22/01/2017 , 16:20:00,2467,22.52
21,22/01/2017 , 16:25:00,2467,22.52
22,22/01/2017 , 16:30:00,2467,22.52
23,22/01/2017 , 16:35:00,2467,22.52
24,22/01/2017 , 16:40:00,2467,22.52
25,22/01/2017 , 16:45:00,2467,22.52
26,22/01/2017 , 16:50:00,2467,22.52
27,22/01/2017 , 16:55:00,2467,22.52
28,22/01/2017 , 17:00:00,2467,22.52
29,22/01/2017 , 17:05:00,2467,22.52
30,22/01/2017 , 17:10:00,2467,22.52
31,22/01/2017 , 17:15:00,2467,22.52
32,22/01/2017 , 17:20:00,2467,22.52
33,22/01/2017 , 17:25:00,2467,22.52
34,22/01/2017 , 17:30:00,2466,22.46
35,22/01/2017 , 17:35:00,2466,22.46
36,22/01/2017 , 17:40:00,2466,22.46
37,22/01/2017 , 17:45:00,2466,22.46
38,22/01/2017 , 17:50:00,2467,22.52
39,22/01/2017 , 17:55:00,2466,22.46
40,22/01/2017 , 18:00:00,2466,22.46
41,22/01/2017 , 18:05:00,2467,22.52
42,22/01/2017 , 18:10:00,2467,22.52
43,22/01/2017 , 18:15:00,2467,22.52
44,22/01/2017 , 18:20:00,2467,22.52
45,22/01/2017 , 18:25:00,2467,22.52
46,22/01/2017 , 18:30:00,2467,22.52
47,22/01/2017 , 18:35:00,2467,22.52
48,22/01/2017 , 18:40:00,2467,22.52
49,22/01/2017 , 18:45:00,2468,22.58
50,22/01/2017 , 18:50:00,2467,22.52
51,22/01/2017 , 18:55:00,2468,22.58
52,22/01/2017 , 19:00:00,2468,22.58
53,22/01/2017 , 19:05:00,2468,22.58
54,22/01/2017 , 19:10:00,2469,22.64
55,22/01/2017 , 19:15:00,2469,22.64
56,22/01/2017 , 19:20:00,2468,22.58
57,22/01/2017 , 19:25:00,2468,22.58
58,22/01/2017 , 19:30:00,2468,22.58
59,22/01/2017 , 19:35:00,2468,22.58
60,22/01/2017 , 19:40:00,2469,22.64
61,22/01/2017 , 19:45:00,2469,22.64
62,22/01/2017 , 19:50:00,2469,22.64
63,22/01/2017 , 19:55:00,2469,22.64
64,22/01/2017 , 20:00:00,2469,22.64
65,22/01/2017 , 20:05:00,2469,22.64
66,22/01/2017 , 20:10:00,2469,22.64
67,22/01/2017 , 20:15:00,2469,22.64
68,22/01/2017 , 20:20:00,2469,22.64
69,22/01/2017 , 20:25:00,2469,22.64
70,22/01/2017 , 20:30:00,2469,22.64
71,22/01/2017 , 20:35:00,2469,22.64
72,22/01/2017 , 20:40:00,2469,22.64
73,22/01/2017 , 20:45:00,2469,22.64
74,22/01/2017 , 20:50:00,2469,22.64
75,22/01/2017 , 20:55:00,2469,22.64
76,22/01/2017 , 21:00:00,2469,22.64
77,22/01/2017 , 21:05:00,2469,22.64
78,22/01/2017 , 21:10:00,2469,22.64
79,22/01/2017 , 21:15:00,2469,22.64
80,22/01/2017 , 21:20:00,2469,22.64
81,22/01/2017 , 21:25:00,2469,22.64
82,22/01/2017 , 21:30:00,2469,22.64
83,22/01/2017 , 21:35:00,2470,22.69
84,22/01/2017 , 21:40:00,2470,22.69
85,22/01/2017 , 21:45:00,2470,22.69
86,22/01/2017 , 21:50:00,2470,22.69
87,22/01/2017 , 21:55:00,2469,22.64
88,22/01/2017 , 22:00:00,2469,22.64
89,22/01/2017 , 22:05:00,2469,22.64
90,22/01/2017 , 22:10:00,2469,22.64
91,22/01/2017 , 22:15:00,2469,22.64
92,22/01/2017 , 22:20:00,2470,22.69
93,22/01/2017 , 22:25:00,2470,22.69
94,22/01/2017 , 22:30:00,2470,22.69
95,22/01/2017 , 22:35:00,2470,22.69
96,22/01/2017 , 22:40:00,2470,22.69
