from_cat,min_dist,x,y
1,61.361411255510639,466930.95079450664,1597285.6071382456
2,171.16699614615791,473931.73126656178,1600695.5607157098
3,28.948353928595679,474046.56773832248,1600702.5054227945
4,25.701994114629883,467234.61495961598,1597294.9188987545
5,27.90342375114286,464243.46611297369,1598805.2911964809
6,636.649516066606,471638.22252079984,1594369.1556972475
7,2.2952690223635956,466726.85245953937,1597164.0290475111
8,94.103433566350631,473931.95011604298,1600704.5335444403
9,27.829970562039627,464243.42416503135,1598805.212544089
