unit_id,wlr_id,x,y
102,wlr_102,671139.809116693,1247708.03971445
101,wlr_101,671049.822260265,1247924.89431702
105,wlr_105,671068.10843589,1247508.02742023
104,wlr_104,670507.89038816,1246869.99922958
103,wlr_103,670501.540560578,1246876.35037502
106,wlr_106,670599.887978127,1246626.0695212
107,wlr_107,669340.071988142,1246027.93644302
108,wlr_108,670699.873374158,1250158.19031861
109,wlr_109,671229.79597312,1250498.21121878
