"","tips","mm","dt.tm","Unit_ID","Rank","cat","gid","Unit_ID","Lat","Long","x","y","z","location","remarks","elevation","slope","aspect","coords.x1","coords.x2"
"47",43.96,1055.04,2015-07-01,"TBRG 122",1,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"25",21.04,504.96,2014-08-05,"TBRG 122",2,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"24",19.37,464.88,2014-07-21,"TBRG 122",3,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"27",11.4,273.6,2014-09-04,"TBRG 122",4,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"1",7.72,185.28,2013-08-10,"TBRG 122",5,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"20",7.29,174.96,2014-05-22,"TBRG 122",6,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"44",7.2,172.8,2015-05-17,"TBRG 122",7,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"49",5.21,125.04,2015-07-31,"TBRG 122",8,29,NA,"TBRG 122",11.340781,76.596467,674221.732626,1254137.56423,2096.81,"Red hills gest house","Near the temple",2104,15.9502,332.7004,674221.732625813,1254137.56423161
"52",57.57,1381.68,2015-07-01,"TBRG 101",1,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"30",33.12,794.88,2014-08-05,"TBRG 101",2,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"29",30.56,733.44,2014-07-21,"TBRG 101",3,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"32",15.37,368.88,2014-09-04,"TBRG 101",4,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"6",25.89,621.36,2013-08-10,"TBRG 101",5,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"251",9.35,224.4,2014-05-22,"TBRG 101",6,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"491",5.48,131.52,2015-05-17,"TBRG 101",7,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"54",9.96,239.04,2015-07-31,"TBRG 101",8,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"521",54.81,1260.63,2015-07-01,"TBRG 102",1,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"301",39.84,916.32,2014-08-05,"TBRG 102",2,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"291",40.02,920.46,2014-07-21,"TBRG 102",3,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"321",19.85,456.55,2014-09-04,"TBRG 102",4,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"61",29.38,675.74,2013-08-10,"TBRG 102",5,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"252",11.43,262.89,2014-05-22,"TBRG 102",6,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"492",6.56,150.88,2015-05-17,"TBRG 102",7,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"541",11.04,253.92,2015-07-31,"TBRG 102",8,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"522",38.06,989.56,2015-07-01,"TBRG 103",1,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"302",26.77,696.02,2014-08-05,"TBRG 103",2,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"292",24.67,641.42,2014-07-21,"TBRG 103",3,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"322",13.41,348.66,2014-09-04,"TBRG 103",4,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"62",22.67,589.42,2013-08-10,"TBRG 103",5,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"253",9.84,255.84,2014-05-22,"TBRG 103",6,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"493",5.98,155.48,2015-05-17,"TBRG 103",7,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"542",8.49,220.74,2015-07-31,"TBRG 103",8,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"523",34.68,901.68,2015-07-01,"TBRG 104",1,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"303",19.4,504.4,2014-08-05,"TBRG 104",2,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"293",16.79,436.54,2014-07-21,"TBRG 104",3,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"323",10.73,278.98,2014-09-04,"TBRG 104",4,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"63",15.56,404.56,2013-08-10,"TBRG 104",5,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"254",8.99,233.74,2014-05-22,"TBRG 104",6,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"494",5.99,155.74,2015-05-17,"TBRG 104",7,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"543",5.19,134.94,2015-07-31,"TBRG 104",8,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"51",26.95,646.8,2015-07-01,"TBRG 105",1,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"294",18.73,449.52,2014-08-05,"TBRG 105",2,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"28",16.96,407.04,2014-07-21,"TBRG 105",3,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"31",8.97,215.28,2014-09-04,"TBRG 105",4,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"5",16.96,407.04,2013-08-10,"TBRG 105",5,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"241",11.1,266.4,2014-05-22,"TBRG 105",6,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"48",5.63,135.12,2015-05-17,"TBRG 105",7,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
