Slug Injection,,Time,12:54:00 PM,
WLR,104a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,1,,ec background 6.4,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,6.6,6.6,0
,,44.3,6.6,
,,82.8,6.6,
,,119.1,6.6,
,,154.7,6.6,
,,190.1,6.6,
,,251,6.6,
,,,6.6,
,,,12.2,
,,,27.7,
,,,50.4,
,,,53.7,
,,,60.7,
,,,65.7,
,,,62.5,
,,,57.3,
,,,51,
,,,49,
,,,45.3,
,,,39.9,
,,,33.4,
,,,27,
,,,23.7,
,,,19.1,
,,,18.7,
,,,16.5,
,,,15,
,,,13.5,
,,,12.3,
,,,11.4,
,,,10.6,
,,,9.9,
,,,9.5,
,,,9,
,,,8.7,
,,,8.4,
,,,8.1,
,,,8,
,,,7.7,
,,,7.6,
,,,7.5,
,,,7.3,
,,,7.2,
,,,7.1,
,,,7.1,
,,,7,
,,,7,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.6,
,,,6.6,
