Slug Injection,,Time,10:02:00 AM,
WLR,102,Date,27/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,1,,ec background 8.2,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,8.5,8.2,0
,,47.7,8.2,
,,86.3,8.2,
,,123.5,8.2,
,,160.2,8.2,
,,195.6,8.2,
,,256,8.2,
,,,8.2,
,,,23.6,
,,,47,
,,,66.6,
,,,76.6,
,,,71.1,
,,,59.2,
,,,47.4,
,,,36.5,
,,,27.5,
,,,23.8,
,,,20.2,
,,,17.9,
,,,16.7,
,,,15.8,
,,,16.1,
,,,13.4,
,,,13,
,,,11,
,,,11.1,
,,,10.6,
,,,10.5,
,,,10,
,,,9.7,
,,,9.7,
,,,9.3,
,,,9,
,,,8.9,
,,,8.9,
,,,8.9,
,,,8.7,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.5,
,,,8.5,
,,,8.5,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.2,
,,,8.2,
