Slug Injection,,Time,1:36:00 PM,
WLR,103a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 6.4,6.1
saltgm,standardgm,eccalib,ecdata,Stage
100,2,6.4,6.4,0
,,45.5,6.4,
,,83.9,6.4,
,,121,6.4,
,,157.5,6.4,
,,216,6.4,
,,256,6.4,
,,,6.4,
,,,6.4,
,,,9.8,
,,,20.6,
,,,25.2,
,,,38.5,
,,,42.2,
,,,47.2,
,,,54.4,
,,,55.6,
,,,56.1,
,,,56.2,
,,,53.3,
,,,53.7,
,,,49.2,
,,,46.4,
,,,43.3,
,,,39.7,
,,,35.4,
,,,33.7,
,,,31.5,
,,,26.7,
,,,25,
,,,22.1,
,,,21.3,
,,,19.6,
,,,17.7,
,,,16.9,
,,,15.2,
,,,14.3,
,,,13.8,
,,,12.3,
,,,11.2,
,,,10.8,
,,,10.2,
,,,9.6,
,,,9.1,
,,,8.7,
,,,8.5,
,,,8.3,
,,,8,
,,,7.8,
,,,7.7,
,,,7.6,
,,,7.4,
,,,7.3,
,,,7.2,
,,,7.1,
,,,7.1,
,,,7,
,,,7,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.4,
,,,6.4,
,,,6.4,
