Slug Injection,,Time,11:11:00 AM,
WLR,101,Date,27/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,1,,ec background 7.8,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,8.1,8,0
,,47.5,8,
,,85.7,8,
,,123.9,8,
,,160.2,8,
,,219,8,
,,256,8.1,
,,,13.7,
,,,22.9,
,,,35.3,
,,,50.7,
,,,77.5,
,,,85.8,
,,,95.1,
,,,97.1,
,,,103.9,
,,,102.9,
,,,100.3,
,,,96.4,
,,,89.5,
,,,87.3,
,,,72.1,
,,,63.3,
,,,58.1,
,,,54.7,
,,,49.4,
,,,46.4,
,,,39.5,
,,,36.5,
,,,35.1,
,,,28.5,
,,,27.9,
,,,27.6,
,,,25.5,
,,,23.1,
,,,21.6,
,,,20.3,
,,,18.5,
,,,16.2,
,,,14.7,
,,,14.5,
,,,14,
,,,13.4,
,,,13,
,,,12.3,
,,,11.9,
,,,11.5,
,,,10.9,
,,,10.9,
,,,10.5,
,,,10.2,
,,,9.9,
,,,9.8,
,,,9.5,
,,,9.5,
,,,9.3,
,,,9.2,
,,,9.1,
,,,9,
,,,8.8,
,,,8.8,
,,,8.7,
,,,8.6,
,,,8.5,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.3,
,,,8.3,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.1,
,,,8.1,
,,,8,
