Slug Injection,,Time,4:14:00 PM,
WLR,105a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 6.4,8.5
saltgm,standardgm,eccalib,ecdata,Stage
200,2,8.6,8.4,0
,,47.3,8.3,
,,85.8,8.5,
,,122.6,8.4,
,,158.6,8.5,
,,216,8.5,
,,255,8.5,
,,,8.5,
,,,8.5,
,,,10.3,
,,,30.2,
,,,55,
,,,89.1,
,,,80.7,
,,,76.7,
,,,73.5,
,,,62.2,
,,,54.8,
,,,55.7,
,,,42.8,
,,,39.2,
,,,33.3,
,,,30.8,
,,,29.7,
,,,23.6,
,,,22.6,
,,,19.3,
,,,18.8,
,,,18.2,
,,,16.1,
,,,15.3,
,,,13.4,
,,,13.6,
,,,12.9,
,,,12.8,
,,,11.7,
,,,11.3,
,,,10.7,
,,,10.5,
,,,10.2,
,,,10.3,
,,,9.8,
,,,9.7,
,,,9.7,
,,,9.5,
,,,9.3,
,,,9.2,
,,,9.2,
,,,9.1,
,,,9,
,,,9,
,,,9,
,,,9,
,,,8.9,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
,,,8.6,
