Slug Injection,,Time,4:04:00 PM,
WLR,105a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,1,,ec background 6.4,8.5
saltgm,standardgm,eccalib,ecdata,Stage
200,2,8.6,8.5,0
,,47.3,8.4,
,,85.8,8.4,
,,122.6,8.4,
,,158.6,8.4,
,,216,8.4,
,,255,8.4,
,,,8.4,
,,,8.4,
,,,21,
,,,48,
,,,77.4,
,,,78.5,
,,,75.5,
,,,72.1,
,,,69.9,
,,,56,
,,,54.9,
,,,42.2,
,,,36,
,,,44.4,
,,,29.1,
,,,26.4,
,,,24.8,
,,,21.2,
,,,21.4,
,,,17.8,
,,,19.9,
,,,15.6,
,,,15.1,
,,,14.1,
,,,15,
,,,12.4,
,,,11.9,
,,,11.8,
,,,11.5,
,,,11.2,
,,,10.4,
,,,10.2,
,,,10,
,,,9.7,
,,,9.7,
,,,9.4,
,,,9.4,
,,,9.3,
,,,9.3,
,,,9.3,
,,,9.3,
,,,9,
,,,9,
,,,8.9,
,,,8.9,
,,,8.9,
,,,8.8,
,,,8.8,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.7,
,,,8.6,
,,,8.5,
,,,8.5,
,,,8.5,
