Slug Injection,,Time,10:08:00 AM,
WLR,102,Date,27/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 8.2,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,8.5,8.2,0
,,47.7,8.2,
,,86.3,8.2,
,,123.5,8.2,
,,160.2,8.2,
,,195.6,8.2,
,,256,8.8,
,,,12.5,
,,,22.4,
,,,50.2,
,,,65.1,
,,,63.5,
,,,55.1,
,,,47.9,
,,,39.8,
,,,31.2,
,,,25.5,
,,,22.3,
,,,20.2,
,,,17.4,
,,,16.8,
,,,15.3,
,,,14,
,,,12.6,
,,,11.9,
,,,11.5,
,,,10.9,
,,,10.5,
,,,10.2,
,,,9.9,
,,,9.8,
,,,9.6,
,,,9.3,
,,,9.2,
,,,9.1,
,,,9,
,,,8.9,
,,,8.8,
,,,8.8,
,,,8.8,
,,,8.7,
,,,8.6,
,,,8.5,
,,,8.5,
,,,8.5,
,,,8.5,
,,,8.5,
,,,8.4,
,,,8.4,
,,,8.4,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.3,
,,,8.2,
,,,8.2,
