Slug Injection,,Time,1:25:00 PM,
WLR,103a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,1,,ec background 6.4,6.1
saltgm,standardgm,eccalib,ecdata,Stage
100,2,6.4,6.3,0
,,45.5,6.3,
,,83.9,6.3,
,,121,6.3,
,,157.5,6.3,
,,216,6.3,
,,256,6.3,
,,,6.3,
,,,7.1,
,,,15.5,
,,,20.7,
,,,29.3,
,,,31.9,
,,,43.9,
,,,50.7,
,,,53.7,
,,,56.3,
,,,56.1,
,,,55.5,
,,,53,
,,,51.4,
,,,48,
,,,46.1,
,,,40.6,
,,,38.8,
,,,35.9,
,,,32.2,
,,,27.6,
,,,27.6,
,,,24.8,
,,,22.4,
,,,20.7,
,,,18.4,
,,,16.5,
,,,15.8,
,,,14.6,
,,,13.6,
,,,12.8,
,,,11.7,
,,,11.1,
,,,10.5,
,,,9.9,
,,,9.4,
,,,8.9,
,,,8.6,
,,,8.3,
,,,8.2,
,,,8,
,,,7.8,
,,,7.6,
,,,7.4,
,,,7.3,
,,,7.2,
,,,7.1,
,,,7.1,
,,,7,
,,,6.9,
,,,6.9,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.5,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.4,
,,,6.3,
