Slug Injection,,Time,12:12:00 PM,
WLR,106,Date,26/8/14,
Team,"Vivek,Shiva,Kamal",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 6.3,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,6.8,6.6,0
,,45.2,6.6,
,,82.4,6.6,
,,118.4,6.6,
,,152.8,6.6,
,,188.6,6.6,
,,248,6.6,
,,,6.6,
,,,6.6,
,,,6.6,
,,,11.6,
,,,13.8,
,,,24.6,
,,,34.2,
,,,35.5,
,,,35.6,
,,,32.9,
,,,30.8,
,,,29.2,
,,,27,
,,,25.2,
,,,21.6,
,,,21.7,
,,,20.3,
,,,19.8,
,,,18.7,
,,,17,
,,,16.3,
,,,15.9,
,,,14.9,
,,,14.3,
,,,13.4,
,,,13,
,,,12.6,
,,,11.8,
,,,11.4,
,,,11,
,,,10.6,
,,,10,
,,,9.7,
,,,9.5,
,,,9.2,
,,,9.1,
,,,8.9,
,,,8.7,
,,,8.4,
,,,8.4,
,,,8.2,
,,,8,
,,,8,
,,,7.8,
,,,7.7,
,,,7.6,
,,,7.5,
,,,7.4,
,,,7.4,
,,,7.3,
,,,7.3,
,,,7.2,
,,,7.1,
,,,7.1,
,,,7.1,
,,,7,
,,,7,
,,,7,
,,,7,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.6,
,,,6.6,
