Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/12/2014 , 13:45:00,1976,5.5571
2,22/12/2014 , 13:50:00,1977,5.696
3,22/12/2014 , 13:55:00,1982,6.3907
4,22/12/2014 , 14:00:00,1982,6.3907
5,22/12/2014 , 14:05:00,1983,6.5296
6,22/12/2014 , 14:10:00,1982,6.3907
7,22/12/2014 , 14:15:00,1981,6.2517
8,22/12/2014 , 14:20:00,1981,6.2517
9,22/12/2014 , 14:25:00,1982,6.3907
10,22/12/2014 , 14:30:00,1982,6.3907
11,22/12/2014 , 14:35:00,1982,6.3907
12,22/12/2014 , 14:40:00,1982,6.3907
13,22/12/2014 , 14:45:00,1982,6.3907
14,22/12/2014 , 14:50:00,1983,6.5296
15,22/12/2014 , 14:55:00,1983,6.5296
16,22/12/2014 , 15:00:00,1983,6.5296
17,22/12/2014 , 15:05:00,1983,6.5296
18,22/12/2014 , 15:10:00,1983,6.5296
19,22/12/2014 , 15:15:00,1983,6.5296
20,22/12/2014 , 15:20:00,1982,6.3907
21,22/12/2014 , 15:25:00,1983,6.5296
22,22/12/2014 , 15:30:00,1983,6.5296
23,22/12/2014 , 15:35:00,1983,6.5296
24,22/12/2014 , 15:40:00,1983,6.5296
25,22/12/2014 , 15:45:00,1982,6.3907
26,22/12/2014 , 15:50:00,1983,6.5296
27,22/12/2014 , 15:55:00,1984,6.6685
28,22/12/2014 , 16:00:00,1984,6.6685
29,22/12/2014 , 16:05:00,1984,6.6685
30,22/12/2014 , 16:10:00,1984,6.6685
31,22/12/2014 , 16:15:00,1983,6.5296
32,22/12/2014 , 16:20:00,1983,6.5296
33,22/12/2014 , 16:25:00,1983,6.5296
34,22/12/2014 , 16:30:00,1983,6.5296
35,22/12/2014 , 16:35:00,1984,6.6685
36,22/12/2014 , 16:40:00,1985,6.8074
37,22/12/2014 , 16:45:00,1985,6.8074
38,22/12/2014 , 16:50:00,1984,6.6685
39,22/12/2014 , 16:55:00,1985,6.8074
40,22/12/2014 , 17:00:00,1984,6.6685
41,22/12/2014 , 17:05:00,1985,6.8074
42,22/12/2014 , 17:10:00,1984,6.6685
43,22/12/2014 , 17:15:00,1985,6.8074
44,22/12/2014 , 17:20:00,1985,6.8074
45,22/12/2014 , 17:25:00,1985,6.8074
46,22/12/2014 , 17:30:00,1985,6.8074
47,22/12/2014 , 17:35:00,1985,6.8074
48,22/12/2014 , 17:40:00,1985,6.8074
49,22/12/2014 , 17:45:00,1984,6.6685
50,22/12/2014 , 17:50:00,1985,6.8074
51,22/12/2014 , 17:55:00,1985,6.8074
52,22/12/2014 , 18:00:00,1985,6.8074
53,22/12/2014 , 18:05:00,1986,6.9464
54,22/12/2014 , 18:10:00,1986,6.9464
55,22/12/2014 , 18:15:00,1987,7.0853
56,22/12/2014 , 18:20:00,1987,7.0853
57,22/12/2014 , 18:25:00,1987,7.0853
58,22/12/2014 , 18:30:00,1987,7.0853
59,22/12/2014 , 18:35:00,1987,7.0853
60,22/12/2014 , 18:40:00,1987,7.0853
61,22/12/2014 , 18:45:00,1987,7.0853
62,22/12/2014 , 18:50:00,1988,7.2242
63,22/12/2014 , 18:55:00,1989,7.3632
64,22/12/2014 , 19:00:00,1989,7.3632
65,22/12/2014 , 19:05:00,1987,7.0853
66,22/12/2014 , 19:10:00,1987,7.0853
67,22/12/2014 , 19:15:00,1988,7.2242
68,22/12/2014 , 19:20:00,1989,7.3632
69,22/12/2014 , 19:25:00,1990,7.5021
70,22/12/2014 , 19:30:00,1989,7.3632
71,22/12/2014 , 19:35:00,1989,7.3632
72,22/12/2014 , 19:40:00,1990,7.5021
73,22/12/2014 , 19:45:00,1991,7.641
74,22/12/2014 , 19:50:00,1990,7.5021
75,22/12/2014 , 19:55:00,1991,7.641
76,22/12/2014 , 20:00:00,1992,7.7799
77,22/12/2014 , 20:05:00,1993,7.9189
78,22/12/2014 , 20:10:00,1993,7.9189
79,22/12/2014 , 20:15:00,1993,7.9189
80,22/12/2014 , 20:20:00,1993,7.9189
81,22/12/2014 , 20:25:00,1993,7.9189
82,22/12/2014 , 20:30:00,1994,8.0578
83,22/12/2014 , 20:35:00,1994,8.0578
84,22/12/2014 , 20:40:00,1994,8.0578
85,22/12/2014 , 20:45:00,1995,8.1967
86,22/12/2014 , 20:50:00,1994,8.0578
87,22/12/2014 , 20:55:00,1995,8.1967
88,22/12/2014 , 21:00:00,1995,8.1967
89,22/12/2014 , 21:05:00,1995,8.1967
90,22/12/2014 , 21:10:00,1996,8.3356
91,22/12/2014 , 21:15:00,1995,8.1967
92,22/12/2014 , 21:20:00,1996,8.3356
93,22/12/2014 , 21:25:00,1996,8.3356
94,22/12/2014 , 21:30:00,1996,8.3356
