Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,26/01/2018 , 12:45:00,1946,1.3893
2,26/01/2018 , 12:50:00,1946,1.3893
3,26/01/2018 , 12:55:00,1946,1.3893
4,26/01/2018 , 13:00:00,1946,1.3893
5,26/01/2018 , 13:05:00,1946,1.3893
6,26/01/2018 , 13:10:00,1946,1.3893
7,26/01/2018 , 13:15:00,1946,1.3893
8,26/01/2018 , 13:20:00,1946,1.3893
9,26/01/2018 , 13:25:00,1946,1.3893
10,26/01/2018 , 13:30:00,1946,1.3893
11,26/01/2018 , 13:35:00,1946,1.3893
12,26/01/2018 , 13:40:00,1946,1.3893
13,26/01/2018 , 13:45:00,1946,1.3893
14,26/01/2018 , 13:50:00,1946,1.3893
15,26/01/2018 , 13:55:00,1946,1.3893
16,26/01/2018 , 14:00:00,1946,1.3893
17,26/01/2018 , 14:05:00,1946,1.3893
18,26/01/2018 , 14:10:00,1946,1.3893
19,26/01/2018 , 14:15:00,1945,1.2503
20,26/01/2018 , 14:20:00,1945,1.2503
21,26/01/2018 , 14:25:00,1945,1.2503
22,26/01/2018 , 14:30:00,1945,1.2503
23,26/01/2018 , 14:35:00,1945,1.2503
24,26/01/2018 , 14:40:00,1945,1.2503
25,26/01/2018 , 14:45:00,1945,1.2503
26,26/01/2018 , 14:50:00,1945,1.2503
27,26/01/2018 , 14:55:00,1945,1.2503
28,26/01/2018 , 15:00:00,1945,1.2503
29,26/01/2018 , 15:05:00,1945,1.2503
30,26/01/2018 , 15:10:00,1945,1.2503
31,26/01/2018 , 15:15:00,1945,1.2503
32,26/01/2018 , 15:20:00,1945,1.2503
33,26/01/2018 , 15:25:00,1946,1.3893
34,26/01/2018 , 15:30:00,1946,1.3893
35,26/01/2018 , 15:35:00,1945,1.2503
36,26/01/2018 , 15:40:00,1946,1.3893
37,26/01/2018 , 15:45:00,1945,1.2503
38,26/01/2018 , 15:50:00,1945,1.2503
39,26/01/2018 , 15:55:00,1946,1.3893
40,26/01/2018 , 16:00:00,1946,1.3893
41,26/01/2018 , 16:05:00,1946,1.3893
42,26/01/2018 , 16:10:00,1946,1.3893
43,26/01/2018 , 16:15:00,1946,1.3893
44,26/01/2018 , 16:20:00,1946,1.3893
45,26/01/2018 , 16:25:00,1946,1.3893
46,26/01/2018 , 16:30:00,1946,1.3893
47,26/01/2018 , 16:35:00,1946,1.3893
48,26/01/2018 , 16:40:00,1946,1.3893
49,26/01/2018 , 16:45:00,1946,1.3893
50,26/01/2018 , 16:50:00,1946,1.3893
51,26/01/2018 , 16:55:00,1946,1.3893
52,26/01/2018 , 17:00:00,1947,1.5282
53,26/01/2018 , 17:05:00,1947,1.5282
54,26/01/2018 , 17:10:00,1947,1.5282
55,26/01/2018 , 17:15:00,1947,1.5282
56,26/01/2018 , 17:20:00,1947,1.5282
57,26/01/2018 , 17:25:00,1948,1.6671
58,26/01/2018 , 17:30:00,1948,1.6671
59,26/01/2018 , 17:35:00,1948,1.6671
60,26/01/2018 , 17:40:00,1948,1.6671
61,26/01/2018 , 17:45:00,1948,1.6671
62,26/01/2018 , 17:50:00,1948,1.6671
63,26/01/2018 , 17:55:00,1948,1.6671
64,26/01/2018 , 18:00:00,1949,1.8061
65,26/01/2018 , 18:05:00,1949,1.8061
66,26/01/2018 , 18:10:00,1949,1.8061
67,26/01/2018 , 18:15:00,1949,1.8061
68,26/01/2018 , 18:20:00,1950,1.945
69,26/01/2018 , 18:25:00,1950,1.945
70,26/01/2018 , 18:30:00,1951,2.0839
71,26/01/2018 , 18:35:00,1951,2.0839
72,26/01/2018 , 18:40:00,1951,2.0839
73,26/01/2018 , 18:45:00,1952,2.2228
74,26/01/2018 , 18:50:00,1952,2.2228
75,26/01/2018 , 18:55:00,1952,2.2228
76,26/01/2018 , 19:00:00,1952,2.2228
77,26/01/2018 , 19:05:00,1952,2.2228
78,26/01/2018 , 19:10:00,1951,2.0839
79,26/01/2018 , 19:15:00,1951,2.0839
80,26/01/2018 , 19:20:00,1951,2.0839
81,26/01/2018 , 19:25:00,1952,2.2228
82,26/01/2018 , 19:30:00,1952,2.2228
83,26/01/2018 , 19:35:00,1952,2.2228
84,26/01/2018 , 19:40:00,1952,2.2228
85,26/01/2018 , 19:45:00,1951,2.0839
86,26/01/2018 , 19:50:00,1951,2.0839
87,26/01/2018 , 19:55:00,1951,2.0839
88,26/01/2018 , 20:00:00,1951,2.0839
89,26/01/2018 , 20:05:00,1951,2.0839
90,26/01/2018 , 20:10:00,1951,2.0839
91,26/01/2018 , 20:15:00,1951,2.0839
92,26/01/2018 , 20:20:00,1952,2.2228
93,26/01/2018 , 20:25:00,1952,2.2228
94,26/01/2018 , 20:30:00,1952,2.2228
