Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/12/2017 , 13:30:00,1951,2.0839
2,23/12/2017 , 13:35:00,1950,1.945
3,23/12/2017 , 13:40:00,1950,1.945
4,23/12/2017 , 13:45:00,1950,1.945
5,23/12/2017 , 13:50:00,1950,1.945
6,23/12/2017 , 13:55:00,1950,1.945
7,23/12/2017 , 14:00:00,1950,1.945
8,23/12/2017 , 14:05:00,1949,1.8061
9,23/12/2017 , 14:10:00,1949,1.8061
10,23/12/2017 , 14:15:00,1949,1.8061
11,23/12/2017 , 14:20:00,1949,1.8061
12,23/12/2017 , 14:25:00,1949,1.8061
13,23/12/2017 , 14:30:00,1949,1.8061
14,23/12/2017 , 14:35:00,1949,1.8061
15,23/12/2017 , 14:40:00,1948,1.6671
16,23/12/2017 , 14:45:00,1949,1.8061
17,23/12/2017 , 14:50:00,1948,1.6671
18,23/12/2017 , 14:55:00,1948,1.6671
19,23/12/2017 , 15:00:00,1948,1.6671
20,23/12/2017 , 15:05:00,1948,1.6671
21,23/12/2017 , 15:10:00,1949,1.8061
22,23/12/2017 , 15:15:00,1949,1.8061
23,23/12/2017 , 15:20:00,1949,1.8061
24,23/12/2017 , 15:25:00,1948,1.6671
25,23/12/2017 , 15:30:00,1948,1.6671
26,23/12/2017 , 15:35:00,1949,1.8061
27,23/12/2017 , 15:40:00,1948,1.6671
28,23/12/2017 , 15:45:00,1948,1.6671
29,23/12/2017 , 15:50:00,1948,1.6671
30,23/12/2017 , 15:55:00,1948,1.6671
31,23/12/2017 , 16:00:00,1948,1.6671
32,23/12/2017 , 16:05:00,1947,1.5282
33,23/12/2017 , 16:10:00,1947,1.5282
34,23/12/2017 , 16:15:00,1947,1.5282
35,23/12/2017 , 16:20:00,1947,1.5282
36,23/12/2017 , 16:25:00,1947,1.5282
37,23/12/2017 , 16:30:00,1947,1.5282
38,23/12/2017 , 16:35:00,1947,1.5282
39,23/12/2017 , 16:40:00,1948,1.6671
40,23/12/2017 , 16:45:00,1948,1.6671
41,23/12/2017 , 16:50:00,1950,1.945
42,23/12/2017 , 16:55:00,1951,2.0839
43,23/12/2017 , 17:00:00,1952,2.2228
44,23/12/2017 , 17:05:00,1951,2.0839
45,23/12/2017 , 17:10:00,1952,2.2228
46,23/12/2017 , 17:15:00,1952,2.2228
47,23/12/2017 , 17:20:00,1952,2.2228
48,23/12/2017 , 17:25:00,1953,2.3618
49,23/12/2017 , 17:30:00,1954,2.5007
50,23/12/2017 , 17:35:00,1954,2.5007
51,23/12/2017 , 17:40:00,1954,2.5007
52,23/12/2017 , 17:45:00,1954,2.5007
53,23/12/2017 , 17:50:00,1955,2.6396
54,23/12/2017 , 17:55:00,1955,2.6396
55,23/12/2017 , 18:00:00,1956,2.7785
56,23/12/2017 , 18:05:00,1956,2.7785
57,23/12/2017 , 18:10:00,1956,2.7785
58,23/12/2017 , 18:15:00,1956,2.7785
59,23/12/2017 , 18:20:00,1956,2.7785
60,23/12/2017 , 18:25:00,1956,2.7785
61,23/12/2017 , 18:30:00,1956,2.7785
62,23/12/2017 , 18:35:00,1956,2.7785
63,23/12/2017 , 18:40:00,1955,2.6396
64,23/12/2017 , 18:45:00,1955,2.6396
65,23/12/2017 , 18:50:00,1955,2.6396
66,23/12/2017 , 18:55:00,1954,2.5007
67,23/12/2017 , 19:00:00,1954,2.5007
68,23/12/2017 , 19:05:00,1954,2.5007
69,23/12/2017 , 19:10:00,1955,2.6396
70,23/12/2017 , 19:15:00,1954,2.5007
71,23/12/2017 , 19:20:00,1954,2.5007
72,23/12/2017 , 19:25:00,1955,2.6396
73,23/12/2017 , 19:30:00,1954,2.5007
74,23/12/2017 , 19:35:00,1955,2.6396
75,23/12/2017 , 19:40:00,1954,2.5007
76,23/12/2017 , 19:45:00,1954,2.5007
77,23/12/2017 , 19:50:00,1954,2.5007
78,23/12/2017 , 19:55:00,1955,2.6396
79,23/12/2017 , 20:00:00,1955,2.6396
80,23/12/2017 , 20:05:00,1955,2.6396
81,23/12/2017 , 20:10:00,1955,2.6396
82,23/12/2017 , 20:15:00,1955,2.6396
83,23/12/2017 , 20:20:00,1955,2.6396
84,23/12/2017 , 20:25:00,1955,2.6396
85,23/12/2017 , 20:30:00,1955,2.6396
86,23/12/2017 , 20:35:00,1956,2.7785
87,23/12/2017 , 20:40:00,1956,2.7785
88,23/12/2017 , 20:45:00,1956,2.7785
89,23/12/2017 , 20:50:00,1956,2.7785
90,23/12/2017 , 20:55:00,1956,2.7785
91,23/12/2017 , 21:00:00,1957,2.9175
92,23/12/2017 , 21:05:00,1957,2.9175
93,23/12/2017 , 21:10:00,1957,2.9175
94,23/12/2017 , 21:15:00,1957,2.9175
