Site Name ,WLR107,,,,
Site Number ,107,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,35698,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,30/09/2017 , 12:55:00,2122,15.0042
2,30/09/2017 , 13:00:00,2122,15.0042
3,30/09/2017 , 13:05:00,2122,15.0042
4,30/09/2017 , 13:10:00,2122,15.0042
5,30/09/2017 , 13:15:00,2123,15.1431
6,30/09/2017 , 13:20:00,2123,15.1431
7,30/09/2017 , 13:25:00,2123,15.1431
8,30/09/2017 , 13:30:00,2125,15.421
9,30/09/2017 , 13:35:00,2123,15.1431
10,30/09/2017 , 13:40:00,2125,15.421
11,30/09/2017 , 13:45:00,2125,15.421
12,30/09/2017 , 13:50:00,2124,15.282
13,30/09/2017 , 13:55:00,2126,15.5599
14,30/09/2017 , 14:00:00,2127,15.6988
15,30/09/2017 , 14:05:00,2129,15.9767
16,30/09/2017 , 14:10:00,2130,16.1156
17,30/09/2017 , 14:15:00,2131,16.2545
18,30/09/2017 , 14:20:00,2133,16.5324
19,30/09/2017 , 14:25:00,2134,16.6713
20,30/09/2017 , 14:30:00,2137,17.0881
21,30/09/2017 , 14:35:00,2138,17.227
22,30/09/2017 , 14:40:00,2138,17.227
23,30/09/2017 , 14:45:00,2138,17.227
24,30/09/2017 , 14:50:00,2139,17.3659
25,30/09/2017 , 14:55:00,2139,17.3659
26,30/09/2017 , 15:00:00,2138,17.227
27,30/09/2017 , 15:05:00,2138,17.227
28,30/09/2017 , 15:10:00,2138,17.227
29,30/09/2017 , 15:15:00,2138,17.227
30,30/09/2017 , 15:20:00,2138,17.227
31,30/09/2017 , 15:25:00,2137,17.0881
32,30/09/2017 , 15:30:00,2136,16.9492
33,30/09/2017 , 15:35:00,2136,16.9492
34,30/09/2017 , 15:40:00,2136,16.9492
35,30/09/2017 , 15:45:00,2136,16.9492
36,30/09/2017 , 15:50:00,2134,16.6713
37,30/09/2017 , 15:55:00,2134,16.6713
38,30/09/2017 , 16:00:00,2134,16.6713
39,30/09/2017 , 16:05:00,2134,16.6713
40,30/09/2017 , 16:10:00,2134,16.6713
41,30/09/2017 , 16:15:00,2133,16.5324
42,30/09/2017 , 16:20:00,2132,16.3934
43,30/09/2017 , 16:25:00,2131,16.2545
44,30/09/2017 , 16:30:00,2129,15.9767
45,30/09/2017 , 16:35:00,2129,15.9767
46,30/09/2017 , 16:40:00,2128,15.8377
47,30/09/2017 , 16:45:00,2128,15.8377
48,30/09/2017 , 16:50:00,2127,15.6988
49,30/09/2017 , 16:55:00,2126,15.5599
50,30/09/2017 , 17:00:00,2126,15.5599
51,30/09/2017 , 17:05:00,2126,15.5599
52,30/09/2017 , 17:10:00,2127,15.6988
53,30/09/2017 , 17:15:00,2127,15.6988
54,30/09/2017 , 17:20:00,2126,15.5599
55,30/09/2017 , 17:25:00,2126,15.5599
56,30/09/2017 , 17:30:00,2126,15.5599
57,30/09/2017 , 17:35:00,2127,15.6988
58,30/09/2017 , 17:40:00,2127,15.6988
59,30/09/2017 , 17:45:00,2127,15.6988
60,30/09/2017 , 17:50:00,2126,15.5599
61,30/09/2017 , 17:55:00,2126,15.5599
62,30/09/2017 , 18:00:00,2127,15.6988
63,30/09/2017 , 18:05:00,2129,15.9767
64,30/09/2017 , 18:10:00,2131,16.2545
65,30/09/2017 , 18:15:00,2133,16.5324
66,30/09/2017 , 18:20:00,2133,16.5324
67,30/09/2017 , 18:25:00,2136,16.9492
68,30/09/2017 , 18:30:00,2141,17.6438
69,30/09/2017 , 18:35:00,2142,17.7827
70,30/09/2017 , 18:40:00,2141,17.6438
71,30/09/2017 , 18:45:00,2141,17.6438
72,30/09/2017 , 18:50:00,2141,17.6438
73,30/09/2017 , 18:55:00,2141,17.6438
74,30/09/2017 , 19:00:00,2141,17.6438
75,30/09/2017 , 19:05:00,2143,17.9216
76,30/09/2017 , 19:10:00,2143,17.9216
77,30/09/2017 , 19:15:00,2143,17.9216
78,30/09/2017 , 19:20:00,2145,18.1995
79,30/09/2017 , 19:25:00,2144,18.0606
80,30/09/2017 , 19:30:00,2146,18.3384
81,30/09/2017 , 19:35:00,2145,18.1995
82,30/09/2017 , 19:40:00,2145,18.1995
83,30/09/2017 , 19:45:00,2146,18.3384
84,30/09/2017 , 19:50:00,2146,18.3384
85,30/09/2017 , 19:55:00,2146,18.3384
86,30/09/2017 , 20:00:00,2146,18.3384
87,30/09/2017 , 20:05:00,2146,18.3384
88,30/09/2017 , 20:10:00,2146,18.3384
89,30/09/2017 , 20:15:00,2146,18.3384
90,30/09/2017 , 20:20:00,2146,18.3384
91,30/09/2017 , 20:25:00,2146,18.3384
92,30/09/2017 , 20:30:00,2146,18.3384
93,30/09/2017 , 20:35:00,2146,18.3384
