Site Name ,WLR107,,,,
Site Number ,107,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,35698,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,27/10/2017 , 11:20:00,2089,-7.9431
2,27/10/2017 , 11:25:00,2089,10.7302
3,27/10/2017 , 11:30:00,2091,11.0089
4,27/10/2017 , 11:35:00,2089,10.7302
5,27/10/2017 , 11:40:00,2087,10.4515
6,27/10/2017 , 11:45:00,2086,10.3122
7,27/10/2017 , 11:50:00,2084,10.0334
8,27/10/2017 , 11:55:00,2081,9.6154
9,27/10/2017 , 12:00:00,2081,9.6154
10,27/10/2017 , 12:05:00,2079,9.3367
11,27/10/2017 , 12:10:00,2078,9.1973
12,27/10/2017 , 12:15:00,2078,9.1973
13,27/10/2017 , 12:20:00,2077,9.058
14,27/10/2017 , 12:25:00,2077,9.058
15,27/10/2017 , 12:30:00,2076,8.9186
16,27/10/2017 , 12:35:00,2075,8.7793
17,27/10/2017 , 12:40:00,2075,8.7793
18,27/10/2017 , 12:45:00,2075,8.7793
19,27/10/2017 , 12:50:00,2075,8.7793
20,27/10/2017 , 12:55:00,2075,8.7793
21,27/10/2017 , 13:00:00,2074,8.6399
22,27/10/2017 , 13:05:00,2073,8.5006
23,27/10/2017 , 13:10:00,2073,8.5006
24,27/10/2017 , 13:15:00,2072,8.3612
25,27/10/2017 , 13:20:00,2072,8.3612
26,27/10/2017 , 13:25:00,2071,8.2219
27,27/10/2017 , 13:30:00,2071,8.2219
28,27/10/2017 , 13:35:00,2070,8.0825
29,27/10/2017 , 13:40:00,2069,7.9431
30,27/10/2017 , 13:45:00,2069,7.9431
31,27/10/2017 , 13:50:00,2068,7.8038
32,27/10/2017 , 13:55:00,2068,7.8038
33,27/10/2017 , 14:00:00,2068,7.8038
34,27/10/2017 , 14:05:00,2068,7.8038
35,27/10/2017 , 14:10:00,2067,7.6644
36,27/10/2017 , 14:15:00,2067,7.6644
37,27/10/2017 , 14:20:00,2067,7.6644
38,27/10/2017 , 14:25:00,2067,7.6644
39,27/10/2017 , 14:30:00,2067,7.6644
40,27/10/2017 , 14:35:00,2067,7.6644
41,27/10/2017 , 14:40:00,2067,7.6644
42,27/10/2017 , 14:45:00,2067,7.6644
43,27/10/2017 , 14:50:00,2067,7.6644
44,27/10/2017 , 14:55:00,2067,7.6644
45,27/10/2017 , 15:00:00,2067,7.6644
46,27/10/2017 , 15:05:00,2067,7.6644
47,27/10/2017 , 15:10:00,2067,7.6644
48,27/10/2017 , 15:15:00,2067,7.6644
49,27/10/2017 , 15:20:00,2068,7.8038
50,27/10/2017 , 15:25:00,2068,7.8038
51,27/10/2017 , 15:30:00,2068,7.8038
52,27/10/2017 , 15:35:00,2068,7.8038
53,27/10/2017 , 15:40:00,2069,7.9431
54,27/10/2017 , 15:45:00,2069,7.9431
55,27/10/2017 , 15:50:00,2069,7.9431
56,27/10/2017 , 15:55:00,2070,8.0825
57,27/10/2017 , 16:00:00,2070,8.0825
58,27/10/2017 , 16:05:00,2070,8.0825
59,27/10/2017 , 16:10:00,2070,8.0825
60,27/10/2017 , 16:15:00,2069,7.9431
61,27/10/2017 , 16:20:00,2070,8.0825
62,27/10/2017 , 16:25:00,2069,7.9431
63,27/10/2017 , 16:30:00,2069,7.9431
64,27/10/2017 , 16:35:00,2070,8.0825
65,27/10/2017 , 16:40:00,2070,8.0825
66,27/10/2017 , 16:45:00,2070,8.0825
67,27/10/2017 , 16:50:00,2069,7.9431
68,27/10/2017 , 16:55:00,2070,8.0825
69,27/10/2017 , 17:00:00,2069,7.9431
70,27/10/2017 , 17:05:00,2069,7.9431
71,27/10/2017 , 17:10:00,2069,7.9431
72,27/10/2017 , 17:15:00,2069,7.9431
73,27/10/2017 , 17:20:00,2069,7.9431
74,27/10/2017 , 17:25:00,2069,7.9431
75,27/10/2017 , 17:30:00,2070,8.0825
76,27/10/2017 , 17:35:00,2069,7.9431
77,27/10/2017 , 17:40:00,2069,7.9431
78,27/10/2017 , 17:45:00,2069,7.9431
79,27/10/2017 , 17:50:00,2070,8.0825
80,27/10/2017 , 17:55:00,2070,8.0825
81,27/10/2017 , 18:00:00,2070,8.0825
82,27/10/2017 , 18:05:00,2070,8.0825
83,27/10/2017 , 18:10:00,2070,8.0825
84,27/10/2017 , 18:15:00,2070,8.0825
85,27/10/2017 , 18:20:00,2070,8.0825
86,27/10/2017 , 18:25:00,2070,8.0825
87,27/10/2017 , 18:30:00,2070,8.0825
88,27/10/2017 , 18:35:00,2070,8.0825
89,27/10/2017 , 18:40:00,2070,8.0825
90,27/10/2017 , 18:45:00,2070,8.0825
91,27/10/2017 , 18:50:00,2070,8.0825
92,27/10/2017 , 18:55:00,2071,8.2219
93,27/10/2017 , 19:00:00,2071,8.2219
