Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,26/04/2015 , 11:25:00,1964,3.89
2,26/04/2015 , 11:30:00,1971,4.8625
3,26/04/2015 , 11:35:00,1971,4.8625
4,26/04/2015 , 11:40:00,1970,4.7235
5,26/04/2015 , 11:45:00,1971,4.8625
6,26/04/2015 , 11:50:00,1970,4.7235
7,26/04/2015 , 11:55:00,1970,4.7235
8,26/04/2015 , 12:00:00,1971,4.8625
9,26/04/2015 , 12:05:00,1970,4.7235
10,26/04/2015 , 12:10:00,1970,4.7235
11,26/04/2015 , 12:15:00,1971,4.8625
12,26/04/2015 , 12:20:00,1970,4.7235
13,26/04/2015 , 12:25:00,1970,4.7235
14,26/04/2015 , 12:30:00,1970,4.7235
15,26/04/2015 , 12:35:00,1970,4.7235
16,26/04/2015 , 12:40:00,1970,4.7235
17,26/04/2015 , 12:45:00,1970,4.7235
18,26/04/2015 , 12:50:00,1970,4.7235
19,26/04/2015 , 12:55:00,1970,4.7235
20,26/04/2015 , 13:00:00,1969,4.5846
21,26/04/2015 , 13:05:00,1970,4.7235
22,26/04/2015 , 13:10:00,1969,4.5846
23,26/04/2015 , 13:15:00,1970,4.7235
24,26/04/2015 , 13:20:00,1970,4.7235
25,26/04/2015 , 13:25:00,1970,4.7235
26,26/04/2015 , 13:30:00,1970,4.7235
27,26/04/2015 , 13:35:00,1970,4.7235
28,26/04/2015 , 13:40:00,1969,4.5846
29,26/04/2015 , 13:45:00,1969,4.5846
30,26/04/2015 , 13:50:00,1968,4.4457
31,26/04/2015 , 13:55:00,1970,4.7235
32,26/04/2015 , 14:00:00,1970,4.7235
33,26/04/2015 , 14:05:00,1970,4.7235
34,26/04/2015 , 14:10:00,1970,4.7235
35,26/04/2015 , 14:15:00,1970,4.7235
36,26/04/2015 , 14:20:00,1970,4.7235
37,26/04/2015 , 14:25:00,1971,4.8625
38,26/04/2015 , 14:30:00,1971,4.8625
39,26/04/2015 , 14:35:00,1971,4.8625
40,26/04/2015 , 14:40:00,1971,4.8625
41,26/04/2015 , 14:45:00,1971,4.8625
42,26/04/2015 , 14:50:00,1971,4.8625
43,26/04/2015 , 14:55:00,1971,4.8625
44,26/04/2015 , 15:00:00,1970,4.7235
45,26/04/2015 , 15:05:00,1970,4.7235
46,26/04/2015 , 15:10:00,1970,4.7235
47,26/04/2015 , 15:15:00,1970,4.7235
48,26/04/2015 , 15:20:00,1971,4.8625
49,26/04/2015 , 15:25:00,1971,4.8625
50,26/04/2015 , 15:30:00,1971,4.8625
51,26/04/2015 , 15:35:00,1971,4.8625
52,26/04/2015 , 15:40:00,1971,4.8625
53,26/04/2015 , 15:45:00,1971,4.8625
54,26/04/2015 , 15:50:00,1971,4.8625
55,26/04/2015 , 15:55:00,1971,4.8625
56,26/04/2015 , 16:00:00,1971,4.8625
57,26/04/2015 , 16:05:00,1971,4.8625
58,26/04/2015 , 16:10:00,1971,4.8625
59,26/04/2015 , 16:15:00,1971,4.8625
60,26/04/2015 , 16:20:00,1971,4.8625
61,26/04/2015 , 16:25:00,1971,4.8625
62,26/04/2015 , 16:30:00,1971,4.8625
63,26/04/2015 , 16:35:00,1972,5.0014
64,26/04/2015 , 16:40:00,1972,5.0014
65,26/04/2015 , 16:45:00,1972,5.0014
66,26/04/2015 , 16:50:00,1972,5.0014
67,26/04/2015 , 16:55:00,1976,5.5571
68,26/04/2015 , 17:00:00,1979,5.9739
69,26/04/2015 , 17:05:00,1980,6.1128
70,26/04/2015 , 17:10:00,1981,6.2517
71,26/04/2015 , 17:15:00,1980,6.1128
72,26/04/2015 , 17:20:00,1981,6.2517
73,26/04/2015 , 17:25:00,1981,6.2517
74,26/04/2015 , 17:30:00,1981,6.2517
75,26/04/2015 , 17:35:00,1981,6.2517
76,26/04/2015 , 17:40:00,1981,6.2517
77,26/04/2015 , 17:45:00,1981,6.2517
78,26/04/2015 , 17:50:00,1981,6.2517
79,26/04/2015 , 17:55:00,1983,6.5296
80,26/04/2015 , 18:00:00,1983,6.5296
81,26/04/2015 , 18:05:00,1985,6.8074
82,26/04/2015 , 18:10:00,1986,6.9464
83,26/04/2015 , 18:15:00,1987,7.0853
84,26/04/2015 , 18:20:00,1988,7.2242
85,26/04/2015 , 18:25:00,1988,7.2242
86,26/04/2015 , 18:30:00,1989,7.3632
87,26/04/2015 , 18:35:00,1989,7.3632
88,26/04/2015 , 18:40:00,1991,7.641
89,26/04/2015 , 18:45:00,1991,7.641
90,26/04/2015 , 18:50:00,1993,7.9189
91,26/04/2015 , 18:55:00,1995,8.1967
92,26/04/2015 , 19:00:00,1995,8.1967
93,26/04/2015 , 19:05:00,1995,8.1967
94,26/04/2015 , 19:10:00,1995,8.1967
