Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,15/07/2015 , 12:30:00,2180,35.2876
2,15/07/2015 , 12:35:00,2179,33.7594
3,15/07/2015 , 12:40:00,2177,33.4815
4,15/07/2015 , 12:45:00,2176,33.3426
5,15/07/2015 , 12:50:00,2173,32.9258
6,15/07/2015 , 12:55:00,2172,32.7869
7,15/07/2015 , 13:00:00,2169,32.3701
8,15/07/2015 , 13:05:00,2169,32.3701
9,15/07/2015 , 13:10:00,2165,31.8144
10,15/07/2015 , 13:15:00,2163,31.5365
11,15/07/2015 , 13:20:00,2160,31.1198
12,15/07/2015 , 13:25:00,2155,30.4251
13,15/07/2015 , 13:30:00,2160,31.1198
14,15/07/2015 , 13:35:00,2164,31.6755
15,15/07/2015 , 13:40:00,2165,31.8144
16,15/07/2015 , 13:45:00,2163,31.5365
17,15/07/2015 , 13:50:00,2161,31.2587
18,15/07/2015 , 13:55:00,2165,31.8144
19,15/07/2015 , 14:00:00,2167,32.0922
20,15/07/2015 , 14:05:00,2164,31.6755
21,15/07/2015 , 14:10:00,2161,31.2587
22,15/07/2015 , 14:15:00,2160,31.1198
23,15/07/2015 , 14:20:00,2158,30.8419
24,15/07/2015 , 14:25:00,2155,30.4251
25,15/07/2015 , 14:30:00,2154,30.2862
26,15/07/2015 , 14:35:00,2155,30.4251
27,15/07/2015 , 14:40:00,2159,30.9808
28,15/07/2015 , 14:45:00,2157,30.703
29,15/07/2015 , 14:50:00,2154,30.2862
30,15/07/2015 , 14:55:00,2149,29.5916
31,15/07/2015 , 15:00:00,2146,29.1748
32,15/07/2015 , 15:05:00,2144,28.8969
33,15/07/2015 , 15:10:00,2148,29.4526
34,15/07/2015 , 15:15:00,2154,30.2862
35,15/07/2015 , 15:20:00,2158,30.8419
36,15/07/2015 , 15:25:00,2159,30.9808
37,15/07/2015 , 15:30:00,2160,31.1198
38,15/07/2015 , 15:35:00,2163,31.5365
39,15/07/2015 , 15:40:00,2164,31.6755
40,15/07/2015 , 15:45:00,2166,31.9533
41,15/07/2015 , 15:50:00,2168,32.2312
42,15/07/2015 , 15:55:00,2167,32.0922
43,15/07/2015 , 16:00:00,2165,31.8144
44,15/07/2015 , 16:05:00,2164,31.6755
45,15/07/2015 , 16:10:00,2165,31.8144
46,15/07/2015 , 16:15:00,2165,31.8144
47,15/07/2015 , 16:20:00,2157,30.703
48,15/07/2015 , 16:25:00,2160,31.1198
49,15/07/2015 , 16:30:00,2163,31.5365
50,15/07/2015 , 16:35:00,2165,31.8144
51,15/07/2015 , 16:40:00,2165,31.8144
52,15/07/2015 , 16:45:00,2162,31.3976
53,15/07/2015 , 16:50:00,2163,31.5365
54,15/07/2015 , 16:55:00,2161,31.2587
55,15/07/2015 , 17:00:00,2161,31.2587
56,15/07/2015 , 17:05:00,2166,31.9533
57,15/07/2015 , 17:10:00,2169,32.3701
58,15/07/2015 , 17:15:00,2172,32.7869
59,15/07/2015 , 17:20:00,2167,32.0922
60,15/07/2015 , 17:25:00,2172,32.7869
61,15/07/2015 , 17:30:00,2165,31.8144
62,15/07/2015 , 17:35:00,2168,32.2312
63,15/07/2015 , 17:40:00,2158,30.8419
64,15/07/2015 , 17:45:00,2160,31.1198
65,15/07/2015 , 17:50:00,2162,31.3976
66,15/07/2015 , 17:55:00,2161,31.2587
67,15/07/2015 , 18:00:00,2166,31.9533
68,15/07/2015 , 18:05:00,2174,33.0647
69,15/07/2015 , 18:10:00,2176,33.3426
70,15/07/2015 , 18:15:00,2177,33.4815
71,15/07/2015 , 18:20:00,2172,32.7869
72,15/07/2015 , 18:25:00,2171,32.648
73,15/07/2015 , 18:30:00,2168,32.2312
74,15/07/2015 , 18:35:00,2167,32.0922
75,15/07/2015 , 18:40:00,2172,32.7869
76,15/07/2015 , 18:45:00,2168,32.2312
77,15/07/2015 , 18:50:00,2178,33.6205
78,15/07/2015 , 18:55:00,2173,32.9258
79,15/07/2015 , 19:00:00,2174,33.0647
80,15/07/2015 , 19:05:00,2179,33.7594
81,15/07/2015 , 19:10:00,2176,33.3426
82,15/07/2015 , 19:15:00,2172,32.7869
83,15/07/2015 , 19:20:00,2175,33.2037
84,15/07/2015 , 19:25:00,2170,32.509
85,15/07/2015 , 19:30:00,2174,33.0647
86,15/07/2015 , 19:35:00,2170,32.509
87,15/07/2015 , 19:40:00,2161,31.2587
88,15/07/2015 , 19:45:00,2165,31.8144
89,15/07/2015 , 19:50:00,2163,31.5365
90,15/07/2015 , 19:55:00,2164,31.6755
91,15/07/2015 , 20:00:00,2164,31.6755
92,15/07/2015 , 20:05:00,2159,30.9808
93,15/07/2015 , 20:10:00,2164,31.6755
94,15/07/2015 , 20:15:00,2161,31.2587
