Site Name ,WLR107,,,,
Site Number ,107,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,35698,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,15/12/2017 , 13:55:00,2049,12.7813
2,15/12/2017 , 14:00:00,2049,3.751
3,15/12/2017 , 14:05:00,2049,4.8625
4,15/12/2017 , 14:10:00,2048,4.7235
5,15/12/2017 , 14:15:00,2046,4.4457
6,15/12/2017 , 14:20:00,2044,4.1678
7,15/12/2017 , 14:25:00,2043,4.0289
8,15/12/2017 , 14:30:00,2043,4.0289
9,15/12/2017 , 14:35:00,2042,3.89
10,15/12/2017 , 14:40:00,2042,3.89
11,15/12/2017 , 14:45:00,2042,3.89
12,15/12/2017 , 14:50:00,2042,3.89
13,15/12/2017 , 14:55:00,2041,3.751
14,15/12/2017 , 15:00:00,2041,3.751
15,15/12/2017 , 15:05:00,2041,3.751
16,15/12/2017 , 15:10:00,2041,3.751
17,15/12/2017 , 15:15:00,2041,3.751
18,15/12/2017 , 15:20:00,2041,3.751
19,15/12/2017 , 15:25:00,2041,3.751
20,15/12/2017 , 15:30:00,2041,3.751
21,15/12/2017 , 15:35:00,2040,3.6121
22,15/12/2017 , 15:40:00,2041,3.751
23,15/12/2017 , 15:45:00,2041,3.751
24,15/12/2017 , 15:50:00,2041,3.751
25,15/12/2017 , 15:55:00,2041,3.751
26,15/12/2017 , 16:00:00,2040,3.6121
27,15/12/2017 , 16:05:00,2040,3.6121
28,15/12/2017 , 16:10:00,2041,3.751
29,15/12/2017 , 16:15:00,2041,3.751
30,15/12/2017 , 16:20:00,2041,3.751
31,15/12/2017 , 16:25:00,2041,3.751
32,15/12/2017 , 16:30:00,2041,3.751
33,15/12/2017 , 16:35:00,2041,3.751
34,15/12/2017 , 16:40:00,2041,3.751
35,15/12/2017 , 16:45:00,2042,3.89
36,15/12/2017 , 16:50:00,2042,3.89
37,15/12/2017 , 16:55:00,2042,3.89
38,15/12/2017 , 17:00:00,2042,3.89
39,15/12/2017 , 17:05:00,2042,3.89
40,15/12/2017 , 17:10:00,2042,3.89
41,15/12/2017 , 17:15:00,2042,3.89
42,15/12/2017 , 17:20:00,2042,3.89
43,15/12/2017 , 17:25:00,2043,4.0289
44,15/12/2017 , 17:30:00,2043,4.0289
45,15/12/2017 , 17:35:00,2043,4.0289
46,15/12/2017 , 17:40:00,2044,4.1678
47,15/12/2017 , 17:45:00,2043,4.0289
48,15/12/2017 , 17:50:00,2043,4.0289
49,15/12/2017 , 17:55:00,2044,4.1678
50,15/12/2017 , 18:00:00,2043,4.0289
51,15/12/2017 , 18:05:00,2044,4.1678
52,15/12/2017 , 18:10:00,2044,4.1678
53,15/12/2017 , 18:15:00,2044,4.1678
54,15/12/2017 , 18:20:00,2044,4.1678
55,15/12/2017 , 18:25:00,2044,4.1678
56,15/12/2017 , 18:30:00,2044,4.1678
57,15/12/2017 , 18:35:00,2044,4.1678
58,15/12/2017 , 18:40:00,2044,4.1678
59,15/12/2017 , 18:45:00,2044,4.1678
60,15/12/2017 , 18:50:00,2045,4.3068
61,15/12/2017 , 18:55:00,2045,4.3068
62,15/12/2017 , 19:00:00,2045,4.3068
63,15/12/2017 , 19:05:00,2045,4.3068
64,15/12/2017 , 19:10:00,2045,4.3068
65,15/12/2017 , 19:15:00,2045,4.3068
66,15/12/2017 , 19:20:00,2046,4.4457
67,15/12/2017 , 19:25:00,2046,4.4457
68,15/12/2017 , 19:30:00,2046,4.4457
69,15/12/2017 , 19:35:00,2046,4.4457
70,15/12/2017 , 19:40:00,2046,4.4457
71,15/12/2017 , 19:45:00,2046,4.4457
72,15/12/2017 , 19:50:00,2046,4.4457
73,15/12/2017 , 19:55:00,2046,4.4457
74,15/12/2017 , 20:00:00,2046,4.4457
75,15/12/2017 , 20:05:00,2047,4.5846
76,15/12/2017 , 20:10:00,2046,4.4457
77,15/12/2017 , 20:15:00,2046,4.4457
78,15/12/2017 , 20:20:00,2046,4.4457
79,15/12/2017 , 20:25:00,2047,4.5846
80,15/12/2017 , 20:30:00,2047,4.5846
81,15/12/2017 , 20:35:00,2047,4.5846
82,15/12/2017 , 20:40:00,2047,4.5846
83,15/12/2017 , 20:45:00,2047,4.5846
84,15/12/2017 , 20:50:00,2047,4.5846
85,15/12/2017 , 20:55:00,2047,4.5846
86,15/12/2017 , 21:00:00,2047,4.5846
87,15/12/2017 , 21:05:00,2047,4.5846
88,15/12/2017 , 21:10:00,2047,4.5846
89,15/12/2017 , 21:15:00,2047,4.5846
90,15/12/2017 , 21:20:00,2047,4.5846
91,15/12/2017 , 21:25:00,2047,4.5846
92,15/12/2017 , 21:30:00,2047,4.5846
93,15/12/2017 , 21:35:00,2047,4.5846
94,15/12/2017 , 21:40:00,2048,4.7235
