Site Name ,LLMGADDI
Site Number ,15
Logger ,Capacitive Water Level
Logger Serial Number ,3201


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,29/03/2016 , 01:02:44,1060,6
2,29/03/2016 , 01:07:44,1063,6.2
3,29/03/2016 , 01:12:44,1068,6.4
4,29/03/2016 , 01:17:44,1069,6.5
5,29/03/2016 , 01:22:44,1069,6.5
6,29/03/2016 , 01:27:44,1069,6.5
7,29/03/2016 , 01:32:44,1069,6.5
8,29/03/2016 , 01:37:44,1069,6.5
9,29/03/2016 , 01:42:44,1069,6.5
10,29/03/2016 , 01:47:44,1068,6.4
11,29/03/2016 , 01:52:44,1068,6.4
12,29/03/2016 , 01:57:44,1068,6.4
13,29/03/2016 , 02:02:44,1067,6.4
14,29/03/2016 , 02:07:44,1067,6.4
15,29/03/2016 , 02:12:44,1067,6.4
16,29/03/2016 , 02:17:44,1066,6.3
17,29/03/2016 , 02:22:44,1066,6.3
18,29/03/2016 , 02:27:44,1065,6.3
19,29/03/2016 , 02:32:44,1064,6.2
20,29/03/2016 , 02:37:44,1064,6.2
21,29/03/2016 , 02:42:44,1063,6.2
22,29/03/2016 , 02:47:44,1062,6.1
23,29/03/2016 , 02:52:44,1062,6.1
24,29/03/2016 , 02:57:44,1061,6.1
25,29/03/2016 , 03:02:44,1060,6
26,29/03/2016 , 03:07:44,1060,6
27,29/03/2016 , 03:12:44,1059,5.9
28,29/03/2016 , 03:17:44,1059,5.9
29,29/03/2016 , 03:22:44,1058,5.9
30,29/03/2016 , 03:27:44,1058,5.9
31,29/03/2016 , 03:32:44,1058,5.9
32,29/03/2016 , 03:37:44,1057,5.8
33,29/03/2016 , 03:42:44,1057,5.8
34,29/03/2016 , 03:47:44,1056,5.8
35,29/03/2016 , 03:52:44,1056,5.8
36,29/03/2016 , 03:57:44,1056,5.8
37,29/03/2016 , 04:02:44,1056,5.8
38,29/03/2016 , 04:07:44,1056,5.8
39,29/03/2016 , 04:12:44,1055,5.7
40,29/03/2016 , 04:17:44,1055,5.7
41,29/03/2016 , 04:22:44,1055,5.7
42,29/03/2016 , 04:27:44,1055,5.7
43,29/03/2016 , 04:32:44,1055,5.7
44,29/03/2016 , 04:37:44,1055,5.7
45,29/03/2016 , 04:42:44,1055,5.7
46,29/03/2016 , 04:47:44,1055,5.7
47,29/03/2016 , 04:52:44,1055,5.7
48,29/03/2016 , 04:57:44,1055,5.7
49,29/03/2016 , 05:02:44,1055,5.7
50,29/03/2016 , 05:07:44,1055,5.7
51,29/03/2016 , 05:12:44,1056,5.8
52,29/03/2016 , 05:17:44,1056,5.8
53,29/03/2016 , 05:22:44,1056,5.8
54,29/03/2016 , 05:27:44,1056,5.8
55,29/03/2016 , 05:32:44,1056,5.8
56,29/03/2016 , 05:37:44,1056,5.8
57,29/03/2016 , 05:42:44,1056,5.8
58,29/03/2016 , 05:47:44,1056,5.8
59,29/03/2016 , 05:52:44,1056,5.8
60,29/03/2016 , 05:57:44,1056,5.8
61,29/03/2016 , 06:02:44,1056,5.8
62,29/03/2016 , 06:07:44,1056,5.8
63,29/03/2016 , 06:12:44,1056,5.8
64,29/03/2016 , 06:17:44,1056,5.8
65,29/03/2016 , 06:22:44,1056,5.8
66,29/03/2016 , 06:27:44,1057,5.8
67,29/03/2016 , 06:32:44,1056,5.8
68,29/03/2016 , 06:37:44,1056,5.8
69,29/03/2016 , 06:42:44,1057,5.8
70,29/03/2016 , 06:47:44,1056,5.8
71,29/03/2016 , 06:52:44,1056,5.8
72,29/03/2016 , 06:57:44,1057,5.8
73,29/03/2016 , 07:02:44,1057,5.8
74,29/03/2016 , 07:07:44,1057,5.8
75,29/03/2016 , 07:12:44,1057,5.8
76,29/03/2016 , 07:17:44,1057,5.8
77,29/03/2016 , 07:22:44,1057,5.8
78,29/03/2016 , 07:27:44,1057,5.8
79,29/03/2016 , 07:32:44,1057,5.8
80,29/03/2016 , 07:37:44,1057,5.8
81,29/03/2016 , 07:42:44,1057,5.8
82,29/03/2016 , 07:47:44,1057,5.8
83,29/03/2016 , 07:52:44,1057,5.8
84,29/03/2016 , 07:57:44,1057,5.8
85,29/03/2016 , 08:02:44,1057,5.8
86,29/03/2016 , 08:07:44,1058,5.9
87,29/03/2016 , 08:12:44,1058,5.9
88,29/03/2016 , 08:17:44,1058,5.9
89,29/03/2016 , 08:22:44,1058,5.9
90,29/03/2016 , 08:27:44,1058,5.9
91,29/03/2016 , 08:32:44,1058,5.9
92,29/03/2016 , 08:37:44,1058,5.9
93,29/03/2016 , 08:42:44,1058,5.9
94,29/03/2016 , 08:47:44,1058,5.9
95,29/03/2016 , 08:52:44,1058,5.9
96,29/03/2016 , 08:57:44,1058,5.9
97,29/03/2016 , 09:02:44,1058,5.9
98,29/03/2016 , 09:07:44,1059,5.9
