Site Name ,WLR104A,,,,
Site Number ,104,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1177,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,19/01/2017 , 14:50:00,2212,14.5
2,19/01/2017 , 14:55:00,2212,14.5
3,19/01/2017 , 15:00:00,2212,14.5
4,19/01/2017 , 15:05:00,2212,14.5
5,19/01/2017 , 15:10:00,2212,14.5
6,19/01/2017 , 15:15:00,2212,14.5
7,19/01/2017 , 15:20:00,2212,14.5
8,19/01/2017 , 15:25:00,2212,14.5
9,19/01/2017 , 15:30:00,2212,14.5
10,19/01/2017 , 15:35:00,2212,14.5
11,19/01/2017 , 15:40:00,2212,14.5
12,19/01/2017 , 15:45:00,2212,14.5
13,19/01/2017 , 15:50:00,2212,14.5
14,19/01/2017 , 15:55:00,2211,14.42
15,19/01/2017 , 16:00:00,2212,14.5
16,19/01/2017 , 16:05:00,2212,14.5
17,19/01/2017 , 16:10:00,2212,14.5
18,19/01/2017 , 16:15:00,2212,14.5
19,19/01/2017 , 16:20:00,2212,14.5
20,19/01/2017 , 16:25:00,2212,14.5
21,19/01/2017 , 16:30:00,2212,14.5
22,19/01/2017 , 16:35:00,2212,14.5
23,19/01/2017 , 16:40:00,2212,14.5
24,19/01/2017 , 16:45:00,2213,14.59
25,19/01/2017 , 16:50:00,2212,14.5
26,19/01/2017 , 16:55:00,2213,14.59
27,19/01/2017 , 17:00:00,2214,14.67
28,19/01/2017 , 17:05:00,2215,14.76
29,19/01/2017 , 17:10:00,2215,14.76
30,19/01/2017 , 17:15:00,2215,14.76
31,19/01/2017 , 17:20:00,2215,14.76
32,19/01/2017 , 17:25:00,2216,14.84
33,19/01/2017 , 17:30:00,2216,14.84
34,19/01/2017 , 17:35:00,2216,14.84
35,19/01/2017 , 17:40:00,2216,14.84
36,19/01/2017 , 17:45:00,2216,14.84
37,19/01/2017 , 17:50:00,2216,14.84
38,19/01/2017 , 17:55:00,2217,14.92
39,19/01/2017 , 18:00:00,2218,15.01
40,19/01/2017 , 18:05:00,2218,15.01
41,19/01/2017 , 18:10:00,2219,15.09
42,19/01/2017 , 18:15:00,2219,15.09
43,19/01/2017 , 18:20:00,2220,15.18
44,19/01/2017 , 18:25:00,2220,15.18
45,19/01/2017 , 18:30:00,2222,15.35
46,19/01/2017 , 18:35:00,2222,15.35
47,19/01/2017 , 18:40:00,2225,15.6
48,19/01/2017 , 18:45:00,2228,15.85
49,19/01/2017 , 18:50:00,2230,16.02
50,19/01/2017 , 18:55:00,2229,15.94
51,19/01/2017 , 19:00:00,2229,15.94
52,19/01/2017 , 19:05:00,2230,16.02
53,19/01/2017 , 19:10:00,2231,16.1
54,19/01/2017 , 19:15:00,2232,16.19
55,19/01/2017 , 19:20:00,2234,16.36
56,19/01/2017 , 19:25:00,2236,16.53
57,19/01/2017 , 19:30:00,2235,16.44
58,19/01/2017 , 19:35:00,2234,16.36
59,19/01/2017 , 19:40:00,2237,16.61
60,19/01/2017 , 19:45:00,2241,16.95
61,19/01/2017 , 19:50:00,2243,17.12
62,19/01/2017 , 19:55:00,2244,17.2
63,19/01/2017 , 20:00:00,2247,17.45
64,19/01/2017 , 20:05:00,2250,17.71
65,19/01/2017 , 20:10:00,2252,17.88
66,19/01/2017 , 20:15:00,2254,18.04
67,19/01/2017 , 20:20:00,2255,18.13
68,19/01/2017 , 20:25:00,2257,18.3
69,19/01/2017 , 20:30:00,2255,18.13
70,19/01/2017 , 20:35:00,2256,18.21
71,19/01/2017 , 20:40:00,2256,18.21
72,19/01/2017 , 20:45:00,2256,18.21
73,19/01/2017 , 20:50:00,2256,18.21
74,19/01/2017 , 20:55:00,2255,18.13
75,19/01/2017 , 21:00:00,2254,18.04
76,19/01/2017 , 21:05:00,2253,17.96
77,19/01/2017 , 21:10:00,2252,17.88
78,19/01/2017 , 21:15:00,2250,17.71
79,19/01/2017 , 21:20:00,2250,17.71
80,19/01/2017 , 21:25:00,2248,17.54
81,19/01/2017 , 21:30:00,2249,17.62
82,19/01/2017 , 21:35:00,2248,17.54
83,19/01/2017 , 21:40:00,2246,17.37
84,19/01/2017 , 21:45:00,2245,17.28
85,19/01/2017 , 21:50:00,2243,17.12
86,19/01/2017 , 21:55:00,2242,17.03
87,19/01/2017 , 22:00:00,2242,17.03
88,19/01/2017 , 22:05:00,2241,16.95
89,19/01/2017 , 22:10:00,2239,16.78
90,19/01/2017 , 22:15:00,2239,16.78
91,19/01/2017 , 22:20:00,2239,16.78
92,19/01/2017 , 22:25:00,2237,16.61
93,19/01/2017 , 22:30:00,2237,16.61
94,19/01/2017 , 22:35:00,2237,16.61
95,19/01/2017 , 22:40:00,2237,16.61
96,19/01/2017 , 22:45:00,2236,16.53
