Site Name ,WLR114,,,,
Site Number ,114,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1742,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,27/01/2017 , 11:55:00,2220,18.5
2,27/01/2017 , 12:00:00,2219,18.4
3,27/01/2017 , 12:05:00,2220,18.5
4,27/01/2017 , 12:10:00,2219,18.4
5,27/01/2017 , 12:15:00,2220,18.5
6,27/01/2017 , 12:20:00,2220,18.5
7,27/01/2017 , 12:25:00,2219,18.4
8,27/01/2017 , 12:30:00,2220,18.5
9,27/01/2017 , 12:35:00,2219,18.4
10,27/01/2017 , 12:40:00,2219,18.4
11,27/01/2017 , 12:45:00,2219,18.4
12,27/01/2017 , 12:50:00,2218,18.4
13,27/01/2017 , 12:55:00,2218,18.4
14,27/01/2017 , 13:00:00,2218,18.4
15,27/01/2017 , 13:05:00,2217,18.3
16,27/01/2017 , 13:10:00,2218,18.4
17,27/01/2017 , 13:15:00,2217,18.3
18,27/01/2017 , 13:20:00,2217,18.3
19,27/01/2017 , 13:25:00,2217,18.3
20,27/01/2017 , 13:30:00,2217,18.3
21,27/01/2017 , 13:35:00,2216,18.3
22,27/01/2017 , 13:40:00,2216,18.3
23,27/01/2017 , 13:45:00,2217,18.3
24,27/01/2017 , 13:50:00,2216,18.3
25,27/01/2017 , 13:55:00,2216,18.3
26,27/01/2017 , 14:00:00,2216,18.3
27,27/01/2017 , 14:05:00,2216,18.3
28,27/01/2017 , 14:10:00,2216,18.3
29,27/01/2017 , 14:15:00,2216,18.3
30,27/01/2017 , 14:20:00,2216,18.3
31,27/01/2017 , 14:25:00,2216,18.3
32,27/01/2017 , 14:30:00,2217,18.3
33,27/01/2017 , 14:35:00,2216,18.3
34,27/01/2017 , 14:40:00,2216,18.3
35,27/01/2017 , 14:45:00,2216,18.3
36,27/01/2017 , 14:50:00,2216,18.3
37,27/01/2017 , 14:55:00,2216,18.3
38,27/01/2017 , 15:00:00,2217,18.3
39,27/01/2017 , 15:05:00,2217,18.3
40,27/01/2017 , 15:10:00,2217,18.3
41,27/01/2017 , 15:15:00,2216,18.3
42,27/01/2017 , 15:20:00,2216,18.3
43,27/01/2017 , 15:25:00,2217,18.3
44,27/01/2017 , 15:30:00,2216,18.3
45,27/01/2017 , 15:35:00,2217,18.3
46,27/01/2017 , 15:40:00,2217,18.3
47,27/01/2017 , 15:45:00,2217,18.3
48,27/01/2017 , 15:50:00,2217,18.3
49,27/01/2017 , 15:55:00,2217,18.3
50,27/01/2017 , 16:00:00,2217,18.3
51,27/01/2017 , 16:05:00,2216,18.3
52,27/01/2017 , 16:10:00,2216,18.3
53,27/01/2017 , 16:15:00,2215,18.2
54,27/01/2017 , 16:20:00,2216,18.3
55,27/01/2017 , 16:25:00,2216,18.3
56,27/01/2017 , 16:30:00,2216,18.3
57,27/01/2017 , 16:35:00,2216,18.3
58,27/01/2017 , 16:40:00,2215,18.2
59,27/01/2017 , 16:45:00,2215,18.2
60,27/01/2017 , 16:50:00,2216,18.3
61,27/01/2017 , 16:55:00,2216,18.3
62,27/01/2017 , 17:00:00,2216,18.3
63,27/01/2017 , 17:05:00,2216,18.3
64,27/01/2017 , 17:10:00,2216,18.3
65,27/01/2017 , 17:15:00,2215,18.2
66,27/01/2017 , 17:20:00,2216,18.3
67,27/01/2017 , 17:25:00,2215,18.2
68,27/01/2017 , 17:30:00,2215,18.2
69,27/01/2017 , 17:35:00,2216,18.3
70,27/01/2017 , 17:40:00,2216,18.3
71,27/01/2017 , 17:45:00,2217,18.3
72,27/01/2017 , 17:50:00,2217,18.3
73,27/01/2017 , 17:55:00,2218,18.4
74,27/01/2017 , 18:00:00,2219,18.4
75,27/01/2017 , 18:05:00,2218,18.4
76,27/01/2017 , 18:10:00,2218,18.4
77,27/01/2017 , 18:15:00,2219,18.4
78,27/01/2017 , 18:20:00,2219,18.4
79,27/01/2017 , 18:25:00,2219,18.4
80,27/01/2017 , 18:30:00,2219,18.4
81,27/01/2017 , 18:35:00,2218,18.4
82,27/01/2017 , 18:40:00,2218,18.4
83,27/01/2017 , 18:45:00,2219,18.4
84,27/01/2017 , 18:50:00,2218,18.4
85,27/01/2017 , 18:55:00,2219,18.4
86,27/01/2017 , 19:00:00,2219,18.4
87,27/01/2017 , 19:05:00,2218,18.4
88,27/01/2017 , 19:10:00,2219,18.4
89,27/01/2017 , 19:15:00,2219,18.4
90,27/01/2017 , 19:20:00,2219,18.4
91,27/01/2017 , 19:25:00,2218,18.4
92,27/01/2017 , 19:30:00,2219,18.4
93,27/01/2017 , 19:35:00,2219,18.4
94,27/01/2017 , 19:40:00,2219,18.4
95,27/01/2017 , 19:45:00,2219,18.4
96,27/01/2017 , 19:50:00,2219,18.4
