wlr_id,x,y
WLR_001,466937.280165257,1597259.72675924
WLR_002,473928.666462389,1600699.73427929
WLR_003,474048.690261481,1600699.86715645
WLR_004,467227.33767973,1597269.72716738
WLR_005,464276.752618709,1598792.16017354
WLR_008,472018.287660168,1594019.59452467
WLR_009,466660.342042889,1597096.60331123
WLR_010,473928.666462389,1600706.82806775
WLR_011,464276.752618709,1598792.11608735
