"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
116,23/01/2016,20:30:00,"NA",31.38
117,23/01/2016,20:35:00,"NA",31.38
118,23/01/2016,20:40:00,"NA",31.32
119,23/01/2016,20:45:00,"NA",31.32
120,23/01/2016,20:50:00,"NA",31.26
121,23/01/2016,20:55:00,"NA",31.26
122,23/01/2016,21:00:00,"NA",31.26
123,23/01/2016,21:05:00,"NA",31.26
124,23/01/2016,21:10:00,"NA",31.2
125,23/01/2016,21:15:00,"NA",31.2
126,23/01/2016,21:20:00,"NA",31.2
127,23/01/2016,21:25:00,"NA",31.2
128,23/01/2016,21:30:00,"NA",31.14
129,23/01/2016,21:35:00,"NA",31.14
130,23/01/2016,21:40:00,"NA",31.14
131,23/01/2016,21:45:00,"NA",31.08
132,23/01/2016,21:50:00,"NA",31.08
133,23/01/2016,21:55:00,"NA",31.08
134,23/01/2016,22:00:00,"NA",31.02
135,23/01/2016,22:05:00,"NA",31.02
136,23/01/2016,22:10:00,"NA",31.02
137,23/01/2016,22:15:00,"NA",30.96
138,23/01/2016,22:20:00,"NA",30.96
139,23/01/2016,22:25:00,"NA",30.9
140,23/01/2016,22:30:00,"NA",30.9
141,23/01/2016,22:35:00,"NA",30.84
142,23/01/2016,22:40:00,"NA",30.78
143,23/01/2016,22:45:00,"NA",30.78
144,23/01/2016,22:50:00,"NA",30.72
145,23/01/2016,22:55:00,"NA",30.72
146,23/01/2016,23:00:00,"NA",30.66
147,23/01/2016,23:05:00,"NA",30.6
148,23/01/2016,23:10:00,"NA",30.6
149,23/01/2016,23:15:00,"NA",30.54
150,23/01/2016,23:20:00,"NA",30.54
151,23/01/2016,23:25:00,"NA",30.48
152,23/01/2016,23:30:00,"NA",30.48
153,23/01/2016,23:35:00,"NA",30.48
