Site Name ,WLR113,,,
Site Number ,103,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,41697,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
122,11/01/2016,00:25:00,NA,27.72
123,11/01/2016,00:30:00,NA,27.72
124,11/01/2016,00:35:00,NA,27.72
125,11/01/2016,00:40:00,NA,27.72
126,11/01/2016,00:45:00,NA,27.72
127,11/01/2016,00:50:00,NA,27.72
128,11/01/2016,00:55:00,NA,27.72
129,11/01/2016,01:00:00,NA,27.72
130,11/01/2016,01:05:00,NA,27.72
131,11/01/2016,01:10:00,NA,27.72
132,11/01/2016,01:15:00,NA,27.72
133,11/01/2016,01:20:00,NA,27.72
134,11/01/2016,01:25:00,NA,27.78
135,11/01/2016,01:30:00,NA,27.78
136,11/01/2016,01:35:00,NA,27.78
137,11/01/2016,01:40:00,NA,27.78
138,11/01/2016,01:45:00,NA,27.78
139,11/01/2016,01:50:00,NA,27.78
140,11/01/2016,01:55:00,NA,27.78
141,11/01/2016,02:00:00,NA,27.78
142,11/01/2016,02:05:00,NA,27.78
143,11/01/2016,02:10:00,NA,27.78
144,11/01/2016,02:15:00,NA,27.78
145,11/01/2016,02:20:00,NA,27.78
146,11/01/2016,02:25:00,NA,27.78
147,11/01/2016,02:30:00,NA,27.84
148,11/01/2016,02:35:00,NA,27.84
149,11/01/2016,02:40:00,NA,27.84
150,11/01/2016,02:45:00,NA,27.84
151,11/01/2016,02:50:00,NA,27.84
152,11/01/2016,02:55:00,NA,27.84
153,11/01/2016,03:00:00,NA,27.84
154,11/01/2016,03:05:00,NA,27.84
155,11/01/2016,03:10:00,NA,27.84
156,11/01/2016,03:15:00,NA,27.9
157,11/01/2016,03:20:00,NA,27.9
158,11/01/2016,03:25:00,NA,27.9
159,11/01/2016,03:30:00,NA,27.9
160,11/01/2016,03:35:00,NA,27.9
161,11/01/2016,03:40:00,NA,27.9
162,11/01/2016,03:45:00,NA,27.9
163,11/01/2016,03:50:00,NA,27.9
164,11/01/2016,03:55:00,NA,27.9
165,11/01/2016,04:00:00,NA,27.96
166,11/01/2016,04:05:00,NA,27.96
167,11/01/2016,04:10:00,NA,27.96
168,11/01/2016,04:15:00,NA,27.96
169,11/01/2016,04:20:00,NA,27.96
170,11/01/2016,04:25:00,NA,27.96
171,11/01/2016,04:30:00,NA,27.96
172,11/01/2016,04:35:00,NA,27.96
173,11/01/2016,04:40:00,NA,28.02
174,11/01/2016,04:45:00,NA,27.96
175,11/01/2016,04:50:00,NA,27.96
176,11/01/2016,04:55:00,NA,28.02
177,11/01/2016,05:00:00,NA,27.96
178,11/01/2016,05:05:00,NA,28.02
179,11/01/2016,05:10:00,NA,28.02
180,11/01/2016,05:15:00,NA,28.02
181,11/01/2016,05:20:00,NA,28.02
182,11/01/2016,05:25:00,NA,28.02
183,11/01/2016,05:30:00,NA,28.02
184,11/01/2016,05:35:00,NA,28.02
185,11/01/2016,05:40:00,NA,28.02
186,11/01/2016,05:45:00,NA,28.02
187,11/01/2016,05:50:00,NA,28.02
188,11/01/2016,05:55:00,NA,28.02
189,11/01/2016,06:00:00,NA,28.02
190,11/01/2016,06:05:00,NA,28.02
191,11/01/2016,06:10:00,NA,28.02
192,11/01/2016,06:15:00,NA,28.02
193,11/01/2016,06:20:00,NA,28.02
194,11/01/2016,06:25:00,NA,28.02
195,11/01/2016,06:30:00,NA,28.02
196,11/01/2016,06:35:00,NA,28.08
197,11/01/2016,06:40:00,NA,28.08
198,11/01/2016,06:45:00,NA,28.08
199,11/01/2016,06:50:00,NA,28.08
200,11/01/2016,06:55:00,NA,28.08
201,11/01/2016,07:00:00,NA,28.08
202,11/01/2016,07:05:00,NA,28.08
203,11/01/2016,07:10:00,NA,28.08
204,11/01/2016,07:15:00,NA,28.08
205,11/01/2016,07:20:00,NA,28.08
206,11/01/2016,07:25:00,NA,28.08
207,11/01/2016,07:30:00,NA,28.08
208,11/01/2016,07:35:00,NA,28.08
209,11/01/2016,07:40:00,NA,28.14
210,11/01/2016,07:45:00,NA,28.14
211,11/01/2016,07:50:00,NA,28.14
212,11/01/2016,07:55:00,NA,28.2
213,11/01/2016,08:00:00,NA,28.2
214,11/01/2016,08:05:00,1530,28.32
215,11/01/2016,08:10:00,1530,28.32
216,11/01/2016,08:15:00,1530,28.32
217,11/01/2016,08:20:00,1531,28.38
218,11/01/2016,08:25:00,1531,28.38
219,11/01/2016,08:30:00,1531,28.38
220,11/01/2016,08:35:00,1532,28.44
221,11/01/2016,08:40:00,1532,28.44
222,11/01/2016,08:45:00,1533,28.5
223,11/01/2016,08:50:00,1532,28.44
224,11/01/2016,08:55:00,1532,28.44
225,11/01/2016,09:00:00,1532,28.44
226,11/01/2016,09:05:00,1532,28.44
227,11/01/2016,09:10:00,1531,28.38
228,11/01/2016,09:15:00,1531,28.38
229,11/01/2016,09:20:00,1531,28.38
230,11/01/2016,09:25:00,1530,28.32
231,11/01/2016,09:30:00,1531,28.38
232,11/01/2016,09:35:00,1530,28.32
233,11/01/2016,09:40:00,1530,28.32
234,11/01/2016,09:45:00,1531,28.38
