Site Name ,WLR112,,,,
Site Number ,112,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,40039,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,30/01/2017 , 12:20:00,958,17.49
2,30/01/2017 , 12:25:00,959,18.09
3,30/01/2017 , 12:30:00,959,18.09
4,30/01/2017 , 12:35:00,959,18.09
5,30/01/2017 , 12:40:00,959,18.09
6,30/01/2017 , 12:45:00,959,18.09
7,30/01/2017 , 12:50:00,959,18.09
8,30/01/2017 , 12:55:00,959,18.09
9,30/01/2017 , 13:00:00,959,18.09
10,30/01/2017 , 13:05:00,959,18.09
11,30/01/2017 , 13:10:00,959,18.09
12,30/01/2017 , 13:15:00,959,18.09
13,30/01/2017 , 13:20:00,959,18.09
14,30/01/2017 , 13:25:00,958,18.04
15,30/01/2017 , 13:30:00,959,18.09
16,30/01/2017 , 13:35:00,959,18.09
17,30/01/2017 , 13:40:00,959,18.09
18,30/01/2017 , 13:45:00,959,18.09
19,30/01/2017 , 13:50:00,959,18.09
20,30/01/2017 , 13:55:00,959,18.09
21,30/01/2017 , 14:00:00,959,18.09
22,30/01/2017 , 14:05:00,959,18.09
23,30/01/2017 , 14:10:00,959,18.09
24,30/01/2017 , 14:15:00,959,18.09
25,30/01/2017 , 14:20:00,959,18.09
26,30/01/2017 , 14:25:00,959,18.09
27,30/01/2017 , 14:30:00,959,18.09
28,30/01/2017 , 14:35:00,959,18.09
29,30/01/2017 , 14:40:00,959,18.09
30,30/01/2017 , 14:45:00,959,18.09
31,30/01/2017 , 14:50:00,959,18.09
32,30/01/2017 , 14:55:00,959,18.09
33,30/01/2017 , 15:00:00,959,18.09
34,30/01/2017 , 15:05:00,959,18.09
35,30/01/2017 , 15:10:00,959,18.09
36,30/01/2017 , 15:15:00,959,18.09
37,30/01/2017 , 15:20:00,959,18.09
38,30/01/2017 , 15:25:00,959,18.09
39,30/01/2017 , 15:30:00,959,18.09
40,30/01/2017 , 15:35:00,959,18.09
41,30/01/2017 , 15:40:00,959,18.09
42,30/01/2017 , 15:45:00,960,18.15
43,30/01/2017 , 15:50:00,960,18.15
44,30/01/2017 , 15:55:00,960,18.15
45,30/01/2017 , 16:00:00,960,18.15
46,30/01/2017 , 16:05:00,960,18.15
47,30/01/2017 , 16:10:00,959,18.09
48,30/01/2017 , 16:15:00,959,18.09
49,30/01/2017 , 16:20:00,959,18.09
50,30/01/2017 , 16:25:00,960,18.15
51,30/01/2017 , 16:30:00,959,18.09
52,30/01/2017 , 16:35:00,959,18.09
53,30/01/2017 , 16:40:00,959,18.09
54,30/01/2017 , 16:45:00,959,18.09
55,30/01/2017 , 16:50:00,959,18.09
56,30/01/2017 , 16:55:00,959,18.09
57,30/01/2017 , 17:00:00,958,18.04
58,30/01/2017 , 17:05:00,958,18.04
59,30/01/2017 , 17:10:00,958,18.04
60,30/01/2017 , 17:15:00,958,18.04
61,30/01/2017 , 17:20:00,957,17.98
62,30/01/2017 , 17:25:00,957,17.98
63,30/01/2017 , 17:30:00,957,17.98
64,30/01/2017 , 17:35:00,957,17.98
65,30/01/2017 , 17:40:00,957,17.98
66,30/01/2017 , 17:45:00,956,17.93
67,30/01/2017 , 17:50:00,956,17.93
68,30/01/2017 , 17:55:00,956,17.93
69,30/01/2017 , 18:00:00,956,17.93
70,30/01/2017 , 18:05:00,956,17.93
71,30/01/2017 , 18:10:00,956,17.93
72,30/01/2017 , 18:15:00,956,17.93
73,30/01/2017 , 18:20:00,956,17.93
74,30/01/2017 , 18:25:00,956,17.93
75,30/01/2017 , 18:30:00,956,17.93
76,30/01/2017 , 18:35:00,956,17.93
77,30/01/2017 , 18:40:00,956,17.93
78,30/01/2017 , 18:45:00,956,17.93
79,30/01/2017 , 18:50:00,955,17.87
80,30/01/2017 , 18:55:00,955,17.87
81,30/01/2017 , 19:00:00,955,17.87
82,30/01/2017 , 19:05:00,955,17.87
83,30/01/2017 , 19:10:00,955,17.87
84,30/01/2017 , 19:15:00,955,17.87
85,30/01/2017 , 19:20:00,955,17.87
86,30/01/2017 , 19:25:00,955,17.87
87,30/01/2017 , 19:30:00,955,17.87
88,30/01/2017 , 19:35:00,955,17.87
89,30/01/2017 , 19:40:00,955,17.87
90,30/01/2017 , 19:45:00,955,17.87
91,30/01/2017 , 19:50:00,955,17.87
92,30/01/2017 , 19:55:00,955,17.87
93,30/01/2017 , 20:00:00,955,17.87
94,30/01/2017 , 20:05:00,955,17.87
95,30/01/2017 , 20:10:00,955,17.87
96,30/01/2017 , 20:15:00,955,17.87
97,30/01/2017 , 20:20:00,955,17.87
98,30/01/2017 , 20:25:00,955,17.87
99,30/01/2017 , 20:30:00,955,17.87
100,30/01/2017 , 20:35:00,955,17.87
101,30/01/2017 , 20:40:00,955,17.87
