"","tips","mm","dt.tm","Unit_ID","Rank","cat","gid","Unit_ID","Lat","Long","x","y","z","location","remarks","elevation","slope","aspect","coords.x1","coords.x2"
"72768",0.02,0.52,2015-06-29 15:45:00,"TBRG 103",1,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"70075",0,0,2015-06-01 14:30:00,"TBRG 103",2,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"82946",0,0,2015-10-13 16:15:00,"TBRG 103",3,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"66611",0,0,2015-04-26 12:30:00,"TBRG 103",4,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"65658",0.14,3.64,2015-04-16 14:15:00,"TBRG 103",5,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"84944",0,0,2015-11-03 11:45:00,"TBRG 103",6,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"66610",0,0,2015-04-26 12:15:00,"TBRG 103",7,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"65270",0,0,2015-04-12 13:15:00,"TBRG 103",8,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"74007",0.01,0.26,2015-06-29 15:45:00,"TBRG 104",1,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"71314",0,0,2015-06-01 14:30:00,"TBRG 104",2,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"84185",0,0,2015-10-13 16:15:00,"TBRG 104",3,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"67850",0,0,2015-04-26 12:30:00,"TBRG 104",4,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"66897",0.01,0.26,2015-04-16 14:15:00,"TBRG 104",5,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"86183",NA,NA,2015-11-03 11:45:00,"TBRG 104",6,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"67849",0,0,2015-04-26 12:15:00,"TBRG 104",7,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"66509",0.03,0.78,2015-04-12 13:15:00,"TBRG 104",8,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"72686",0,0,2015-06-29 15:45:00,"TBRG 105",1,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"69993",0,0,2015-06-01 14:30:00,"TBRG 105",2,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"82864",0,0,2015-10-13 16:15:00,"TBRG 105",3,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"66529",0,0,2015-04-26 12:30:00,"TBRG 105",4,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"65576",0.05,1.2,2015-04-16 14:15:00,"TBRG 105",5,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"84862",0,0,2015-11-03 11:45:00,"TBRG 105",6,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"66528",0,0,2015-04-26 12:15:00,"TBRG 105",7,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"65188",0,0,2015-04-12 13:15:00,"TBRG 105",8,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"72682",0.02,0.52,2015-06-29 15:45:00,"TBRG 106",1,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"69989",0,0,2015-06-01 14:30:00,"TBRG 106",2,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"82860",0,0,2015-10-13 16:15:00,"TBRG 106",3,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"66525",0,0,2015-04-26 12:30:00,"TBRG 106",4,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"65572",0.06,1.56,2015-04-16 14:15:00,"TBRG 106",5,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"84858",0,0,2015-11-03 11:45:00,"TBRG 106",6,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"66524",0,0,2015-04-26 12:15:00,"TBRG 106",7,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"65184",0,0,2015-04-12 13:15:00,"TBRG 106",8,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"72680",0.06,1.56,2015-06-29 15:45:00,"TBRG 107",1,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"69987",0,0,2015-06-01 14:30:00,"TBRG 107",2,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"82858",0,0,2015-10-13 16:15:00,"TBRG 107",3,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"66523",0,0,2015-04-26 12:30:00,"TBRG 107",4,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"65570",0.15,3.9,2015-04-16 14:15:00,"TBRG 107",5,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"84856",0,0,2015-11-03 11:45:00,"TBRG 107",6,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"66522",0,0,2015-04-26 12:15:00,"TBRG 107",7,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"65182",0.02,0.52,2015-04-12 13:15:00,"TBRG 107",8,15,12,"TBRG 107",11.2856209999999,76.5741079999977,671814.022111233,1248022.94815239,2265.79,"Near landslide below Nariadu Betta","On steep slope",2308,15.59079,310.2364,671814.022111233,1248022.94815239
"71936",0.02,0.52,2015-06-29 15:45:00,"TBRG 108",1,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"69243",0,0,2015-06-01 14:30:00,"TBRG 108",2,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"82114",0,0,2015-10-13 16:15:00,"TBRG 108",3,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"65779",0,0,2015-04-26 12:30:00,"TBRG 108",4,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"64826",0.07,1.82,2015-04-16 14:15:00,"TBRG 108",5,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"84112",0,0,2015-11-03 11:45:00,"TBRG 108",6,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
"65778",0,0,2015-04-26 12:15:00,"TBRG 108",7,9,28,"TBRG 108",11.2718329999999,76.5704249999977,671420.106396372,1246495.68183352,2362.19,"Overlooking Lakdihalla temple","On ridge",2345,2.345711,143.1301,671420.106396372,1246495.68183352
