Site Name,WLR110,,,
Site Number,110,,,
Logger,Capacitive Water Level,,,
Logger Serial Number,40023,,,
,,,,
,,,,
Scan No,Date and Time,Capacitive Water Level,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
1,08/02/2014,11:20:00,840,12.32
2,08/02/2014,11:25:00,840,12.19
3,08/02/2014,11:30:00,839,12.13
4,08/02/2014,11:35:00,838,12.06
5,08/02/2014,11:40:00,838,12.06
6,08/02/2014,11:45:00,837,12
7,08/02/2014,11:50:00,837,12
8,08/02/2014,11:55:00,837,12
9,08/02/2014,12:00:00,836,11.94
10,08/02/2014,12:05:00,836,11.94
11,08/02/2014,12:10:00,836,11.94
12,08/02/2014,12:15:00,836,11.94
13,08/02/2014,12:20:00,836,11.94
14,08/02/2014,12:25:00,836,11.94
15,08/02/2014,12:30:00,836,11.94
16,08/02/2014,12:35:00,836,11.94
17,08/02/2014,12:40:00,835,11.87
18,08/02/2014,12:45:00,835,11.87
19,08/02/2014,12:50:00,835,11.87
20,08/02/2014,12:55:00,835,11.87
21,08/02/2014,13:00:00,835,11.87
22,08/02/2014,13:05:00,835,11.87
23,08/02/2014,13:10:00,835,11.87
24,08/02/2014,13:15:00,835,11.87
25,08/02/2014,13:20:00,834,11.81
26,08/02/2014,13:25:00,834,11.81
27,08/02/2014,13:30:00,834,11.81
28,08/02/2014,13:35:00,834,11.81
29,08/02/2014,13:40:00,834,11.81
30,08/02/2014,13:45:00,834,11.81
31,08/02/2014,13:50:00,834,11.81
32,08/02/2014,13:55:00,833,11.74
33,08/02/2014,14:00:00,833,11.74
34,08/02/2014,14:05:00,833,11.74
35,08/02/2014,14:10:00,833,11.74
36,08/02/2014,14:15:00,833,11.74
37,08/02/2014,14:20:00,832,11.68
38,08/02/2014,14:25:00,832,11.68
39,08/02/2014,14:30:00,832,11.68
40,08/02/2014,14:35:00,832,11.68
41,08/02/2014,14:40:00,832,11.68
42,08/02/2014,14:45:00,832,11.68
43,08/02/2014,14:50:00,832,11.68
44,08/02/2014,14:55:00,832,11.68
45,08/02/2014,15:00:00,832,11.68
46,08/02/2014,15:05:00,832,11.68
47,08/02/2014,15:10:00,831,11.61
48,08/02/2014,15:15:00,831,11.61
49,08/02/2014,15:20:00,831,11.61
50,08/02/2014,15:25:00,831,11.61
51,08/02/2014,15:30:00,831,11.61
52,08/02/2014,15:35:00,831,11.61
53,08/02/2014,15:40:00,831,11.61
54,08/02/2014,15:45:00,831,11.61
55,08/02/2014,15:50:00,831,11.61
56,08/02/2014,15:55:00,830,11.55
57,08/02/2014,16:00:00,830,11.55
58,08/02/2014,16:05:00,830,11.55
59,08/02/2014,16:10:00,830,11.55
60,08/02/2014,16:15:00,830,11.55
61,08/02/2014,16:20:00,830,11.55
62,08/02/2014,16:25:00,830,11.55
63,08/02/2014,16:30:00,830,11.55
64,08/02/2014,16:35:00,830,11.55
65,08/02/2014,16:40:00,830,11.55
66,08/02/2014,16:45:00,829,11.48
67,08/02/2014,16:50:00,829,11.48
68,08/02/2014,16:55:00,829,11.48
69,08/02/2014,17:00:00,829,11.48
70,08/02/2014,17:05:00,829,11.48
71,08/02/2014,17:10:00,829,11.48
72,08/02/2014,17:15:00,829,11.48
73,08/02/2014,17:20:00,829,11.48
74,08/02/2014,17:25:00,829,11.48
75,08/02/2014,17:30:00,829,11.48
76,08/02/2014,17:35:00,829,11.48
77,08/02/2014,17:40:00,829,11.48
78,08/02/2014,17:45:00,828,11.42
79,08/02/2014,17:50:00,828,11.42
80,08/02/2014,17:55:00,828,11.42
81,08/02/2014,18:00:00,828,11.42
82,08/02/2014,18:05:00,828,11.42
83,08/02/2014,18:10:00,828,11.42
84,08/02/2014,18:15:00,828,11.42
85,08/02/2014,18:20:00,828,11.42
86,08/02/2014,18:25:00,828,11.42
87,08/02/2014,18:30:00,828,11.42
88,08/02/2014,18:35:00,828,11.42
89,08/02/2014,18:40:00,828,11.42
90,08/02/2014,18:45:00,828,11.42
91,08/02/2014,18:50:00,828,11.42
92,08/02/2014,18:55:00,828,11.42
93,08/02/2014,19:00:00,829,11.48
94,08/02/2014,19:05:00,829,11.48
95,08/02/2014,19:10:00,829,11.48
