Site Name ,WLR110,,,
Site Number ,110,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,40023,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
147,11/01/2014,00:40:16,868,0.13
148,11/01/2014,00:55:16,868,0.13
149,11/01/2014,01:10:16,868,0.13
150,11/01/2014,01:25:16,868,0.13
151,11/01/2014,01:40:16,868,0.13
152,11/01/2014,01:55:16,868,0.13
153,11/01/2014,02:10:16,868,0.13
154,11/01/2014,02:25:16,868,0.13
155,11/01/2014,02:40:16,868,0.13
156,11/01/2014,02:55:16,868,0.13
157,11/01/2014,03:10:16,868,0.13
158,11/01/2014,03:25:16,868,0.13
159,11/01/2014,03:40:16,868,0.13
160,11/01/2014,03:55:16,868,0.13
161,11/01/2014,04:10:16,868,0.13
162,11/01/2014,04:25:16,868,0.13
163,11/01/2014,04:40:16,868,0.13
164,11/01/2014,04:55:16,868,0.13
165,11/01/2014,05:10:16,868,0.13
166,11/01/2014,05:25:16,868,0.13
167,11/01/2014,05:40:16,868,0.13
168,11/01/2014,05:55:16,868,0.13
169,11/01/2014,06:10:16,869,0.13
170,11/01/2014,06:25:16,869,0.13
171,11/01/2014,06:40:16,869,0.13
172,11/01/2014,06:55:16,869,0.13
173,11/01/2014,07:10:16,869,0.13
174,11/01/2014,07:25:16,869,0.13
175,11/01/2014,07:40:16,870,0.13
176,11/01/2014,07:55:16,871,0.13
177,11/01/2014,08:10:16,872,0.14
178,11/01/2014,08:25:16,872,0.14
179,11/01/2014,08:40:16,872,0.14
180,11/01/2014,08:55:16,871,0.13
181,11/01/2014,09:10:16,871,0.13
182,11/01/2014,09:25:16,871,0.13
183,11/01/2014,09:40:16,870,0.13
184,11/01/2014,09:55:16,870,0.13
185,11/01/2014,10:10:16,870,0.13
186,11/01/2014,10:25:16,869,0.13
187,11/01/2014,10:40:16,869,0.13
188,11/01/2014,10:55:16,868,0.13
189,11/01/2014,11:10:16,868,0.13
190,11/01/2014,11:25:16,867,0.13
191,11/01/2014,11:40:16,867,0.13
192,11/01/2014,11:55:16,867,0.13
193,11/01/2014,12:10:16,867,0.13
194,11/01/2014,12:25:16,866,0.13
195,11/01/2014,12:40:16,866,0.13
196,11/01/2014,12:55:16,866,0.13
197,11/01/2014,13:10:16,865,0.13
198,11/01/2014,13:25:16,865,0.13
199,11/01/2014,13:40:16,865,0.13
200,11/01/2014,13:55:16,865,0.13
201,11/01/2014,14:10:16,864,0.13
202,11/01/2014,14:25:16,864,0.13
203,11/01/2014,14:40:16,864,0.13
204,11/01/2014,14:55:16,863,0.13
205,11/01/2014,15:10:16,863,0.13
206,11/01/2014,15:25:16,863,0.13
207,11/01/2014,15:40:16,862,0.13
208,11/01/2014,15:55:16,862,0.13
209,11/01/2014,16:10:16,862,0.13
210,11/01/2014,16:25:16,861,0.13
211,11/01/2014,16:40:16,860,0.13
212,11/01/2014,16:55:16,860,0.13
213,11/01/2014,17:10:16,860,0.13
214,11/01/2014,17:25:16,860,0.13
215,11/01/2014,17:40:16,860,0.13
216,11/01/2014,17:55:16,860,0.13
217,11/01/2014,18:10:16,860,0.13
218,11/01/2014,18:25:16,860,0.13
219,11/01/2014,18:40:16,860,0.13
220,11/01/2014,18:55:16,860,0.13
221,11/01/2014,19:10:16,860,0.13
222,11/01/2014,19:25:16,860,0.13
223,11/01/2014,19:40:16,860,0.13
224,11/01/2014,19:55:16,860,0.13
225,11/01/2014,20:10:16,861,0.13
226,11/01/2014,20:25:16,861,0.13
227,11/01/2014,20:40:16,861,0.13
228,11/01/2014,20:55:16,861,0.13
229,11/01/2014,21:10:16,862,0.13
230,11/01/2014,21:25:16,862,0.13
231,11/01/2014,21:40:16,862,0.13
232,11/01/2014,21:55:16,862,0.13
233,11/01/2014,22:10:16,862,0.13
234,11/01/2014,22:25:16,862,0.13
235,11/01/2014,22:40:16,863,0.13
236,11/01/2014,22:55:16,863,0.13
237,11/01/2014,23:10:16,863,0.13
238,11/01/2014,23:25:16,863,0.13
239,11/01/2014,23:40:16,863,0.13
240,11/01/2014,23:55:16,863,0.13
241,12/01/2014,00:10:16,864,0.13
242,12/01/2014,00:25:16,864,0.13
243,12/01/2014,00:40:16,864,0.13
244,12/01/2014,00:55:16,864,0.13
245,12/01/2014,01:10:16,864,0.13
246,12/01/2014,01:25:16,864,0.13
247,12/01/2014,01:40:16,864,0.13
248,12/01/2014,01:55:16,865,0.13
249,12/01/2014,02:10:16,865,0.13
250,12/01/2014,02:25:16,865,0.13
251,12/01/2014,02:40:16,865,0.13
252,12/01/2014,02:55:16,865,0.13
253,12/01/2014,03:10:16,865,0.13
254,12/01/2014,03:25:16,865,0.13
255,12/01/2014,03:40:16,865,0.13
256,12/01/2014,03:55:16,865,0.13
257,12/01/2014,04:10:16,866,0.13
258,12/01/2014,04:25:16,866,0.13
259,12/01/2014,04:40:16,866,0.13
260,12/01/2014,04:55:16,866,0.13
261,12/01/2014,05:10:16,866,0.13
262,12/01/2014,05:25:16,866,0.13
263,12/01/2014,05:40:16,865,0.13
264,12/01/2014,05:55:16,866,0.13
265,12/01/2014,06:10:16,865,0.13
266,12/01/2014,06:25:16,866,0.13
267,12/01/2014,06:40:16,866,0.13
268,12/01/2014,06:55:16,866,0.13
269,12/01/2014,07:10:16,866,0.13
270,12/01/2014,07:25:16,866,0.13
271,12/01/2014,07:40:16,866,0.13
272,12/01/2014,07:55:16,868,0.13
273,12/01/2014,08:10:16,869,0.13
274,12/01/2014,08:25:16,869,0.13
275,12/01/2014,08:40:16,869,0.13
276,12/01/2014,08:55:16,869,0.13
277,12/01/2014,09:10:16,869,0.13
278,12/01/2014,09:25:16,869,0.13
279,12/01/2014,09:40:16,869,0.13
280,12/01/2014,09:55:16,869,0.13
281,12/01/2014,10:10:16,868,0.13
282,12/01/2014,10:25:16,868,0.13
283,12/01/2014,10:40:16,867,0.13
284,12/01/2014,10:55:16,867,0.13
285,12/01/2014,11:10:16,867,0.13
286,12/01/2014,11:25:16,866,0.13
287,12/01/2014,11:40:16,866,0.13
288,12/01/2014,11:55:16,865,0.13
289,12/01/2014,12:10:16,865,0.13
290,12/01/2014,12:25:16,864,0.13
291,12/01/2014,12:40:16,864,0.13
292,12/01/2014,12:55:16,863,0.13
293,12/01/2014,13:10:16,863,0.13
294,12/01/2014,13:25:16,863,0.13
295,12/01/2014,13:40:16,863,0.13
296,12/01/2014,13:55:16,863,0.13
297,12/01/2014,14:10:16,862,0.13
298,12/01/2014,14:25:16,862,0.13
299,12/01/2014,14:40:16,862,0.13
300,12/01/2014,14:55:16,862,0.13
301,12/01/2014,15:10:16,861,0.13
302,12/01/2014,15:25:16,861,0.13
303,12/01/2014,15:40:16,861,0.13
