Site Name ,WLR110,,,,
Site Number ,110,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,40023,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,25/02/2017 , 11:45:00,737,4.84
2,25/02/2017 , 11:50:00,737,4.84
3,25/02/2017 , 11:55:00,737,4.84
4,25/02/2017 , 12:00:00,737,4.84
5,25/02/2017 , 12:05:00,737,4.84
6,25/02/2017 , 12:10:00,737,4.84
7,25/02/2017 , 12:15:00,737,4.84
8,25/02/2017 , 12:20:00,737,4.84
9,25/02/2017 , 12:25:00,737,4.84
10,25/02/2017 , 12:30:00,736,4.77
11,25/02/2017 , 12:35:00,737,4.84
12,25/02/2017 , 12:40:00,737,4.84
13,25/02/2017 , 12:45:00,737,4.84
14,25/02/2017 , 12:50:00,737,4.84
15,25/02/2017 , 12:55:00,737,4.84
16,25/02/2017 , 13:00:00,737,4.84
17,25/02/2017 , 13:05:00,736,4.77
18,25/02/2017 , 13:10:00,736,4.77
19,25/02/2017 , 13:15:00,736,4.77
20,25/02/2017 , 13:20:00,736,4.77
21,25/02/2017 , 13:25:00,736,4.77
22,25/02/2017 , 13:30:00,736,4.77
23,25/02/2017 , 13:35:00,736,4.77
24,25/02/2017 , 13:40:00,736,4.77
25,25/02/2017 , 13:45:00,736,4.77
26,25/02/2017 , 13:50:00,736,4.77
27,25/02/2017 , 13:55:00,736,4.77
28,25/02/2017 , 14:00:00,736,4.77
29,25/02/2017 , 14:05:00,736,4.77
30,25/02/2017 , 14:10:00,736,4.77
31,25/02/2017 , 14:15:00,736,4.77
32,25/02/2017 , 14:20:00,736,4.77
33,25/02/2017 , 14:25:00,736,4.77
34,25/02/2017 , 14:30:00,736,4.77
35,25/02/2017 , 14:35:00,736,4.77
36,25/02/2017 , 14:40:00,736,4.77
37,25/02/2017 , 14:45:00,736,4.77
38,25/02/2017 , 14:50:00,736,4.77
39,25/02/2017 , 14:55:00,736,4.77
40,25/02/2017 , 15:00:00,736,4.77
41,25/02/2017 , 15:05:00,736,4.77
42,25/02/2017 , 15:10:00,736,4.77
43,25/02/2017 , 15:15:00,736,4.77
44,25/02/2017 , 15:20:00,736,4.77
45,25/02/2017 , 15:25:00,736,4.77
46,25/02/2017 , 15:30:00,736,4.77
47,25/02/2017 , 15:35:00,736,4.77
48,25/02/2017 , 15:40:00,735,4.71
49,25/02/2017 , 15:45:00,735,4.71
50,25/02/2017 , 15:50:00,736,4.77
51,25/02/2017 , 15:55:00,736,4.77
52,25/02/2017 , 16:00:00,735,4.71
53,25/02/2017 , 16:05:00,735,4.71
54,25/02/2017 , 16:10:00,735,4.71
55,25/02/2017 , 16:15:00,735,4.71
56,25/02/2017 , 16:20:00,735,4.71
57,25/02/2017 , 16:25:00,735,4.71
58,25/02/2017 , 16:30:00,735,4.71
59,25/02/2017 , 16:35:00,735,4.71
60,25/02/2017 , 16:40:00,735,4.71
61,25/02/2017 , 16:45:00,735,4.71
62,25/02/2017 , 16:50:00,735,4.71
63,25/02/2017 , 16:55:00,735,4.71
64,25/02/2017 , 17:00:00,735,4.71
65,25/02/2017 , 17:05:00,735,4.71
66,25/02/2017 , 17:10:00,735,4.71
67,25/02/2017 , 17:15:00,734,4.65
68,25/02/2017 , 17:20:00,734,4.65
69,25/02/2017 , 17:25:00,735,4.71
70,25/02/2017 , 17:30:00,734,4.65
71,25/02/2017 , 17:35:00,734,4.65
72,25/02/2017 , 17:40:00,734,4.65
73,25/02/2017 , 17:45:00,734,4.65
74,25/02/2017 , 17:50:00,734,4.65
75,25/02/2017 , 17:55:00,734,4.65
76,25/02/2017 , 18:00:00,734,4.65
77,25/02/2017 , 18:05:00,734,4.65
78,25/02/2017 , 18:10:00,734,4.65
79,25/02/2017 , 18:15:00,733,4.58
80,25/02/2017 , 18:20:00,733,4.58
81,25/02/2017 , 18:25:00,734,4.65
82,25/02/2017 , 18:30:00,734,4.65
83,25/02/2017 , 18:35:00,734,4.65
84,25/02/2017 , 18:40:00,733,4.58
85,25/02/2017 , 18:45:00,733,4.58
86,25/02/2017 , 18:50:00,733,4.58
87,25/02/2017 , 18:55:00,733,4.58
88,25/02/2017 , 19:00:00,733,4.58
89,25/02/2017 , 19:05:00,733,4.58
90,25/02/2017 , 19:10:00,733,4.58
91,25/02/2017 , 19:15:00,733,4.58
92,25/02/2017 , 19:20:00,733,4.58
93,25/02/2017 , 19:25:00,733,4.58
94,25/02/2017 , 19:30:00,733,4.58
95,25/02/2017 , 19:35:00,732,4.52
96,25/02/2017 , 19:40:00,733,4.58
97,25/02/2017 , 19:45:00,733,4.58
98,25/02/2017 , 19:50:00,733,4.58
99,25/02/2017 , 19:55:00,733,4.58
100,25/02/2017 , 20:00:00,733,4.58
101,25/02/2017 , 20:05:00,733,4.58
