Site Name ,WLR110
Site Number ,110
Logger ,Capacitive Water Level
Logger Serial Number ,40023


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,10/05/2016 , 10:20:00,738,4.9
2,10/05/2016 , 10:25:00,738,4.9
3,10/05/2016 , 10:30:00,738,4.9
4,10/05/2016 , 10:35:00,737,4.84
5,10/05/2016 , 10:40:00,737,4.84
6,10/05/2016 , 10:45:00,737,4.84
7,10/05/2016 , 10:50:00,737,4.84
8,10/05/2016 , 10:55:00,737,4.84
9,10/05/2016 , 11:00:00,737,4.84
10,10/05/2016 , 11:05:00,737,4.84
11,10/05/2016 , 11:10:00,737,4.84
12,10/05/2016 , 11:15:00,737,4.84
13,10/05/2016 , 11:20:00,737,4.84
14,10/05/2016 , 11:25:00,737,4.84
15,10/05/2016 , 11:30:00,737,4.84
16,10/05/2016 , 11:35:00,737,4.84
17,10/05/2016 , 11:40:00,736,4.77
18,10/05/2016 , 11:45:00,736,4.77
19,10/05/2016 , 11:50:00,736,4.77
20,10/05/2016 , 11:55:00,736,4.77
21,10/05/2016 , 12:00:00,736,4.77
22,10/05/2016 , 12:05:00,736,4.77
23,10/05/2016 , 12:10:00,736,4.77
24,10/05/2016 , 12:15:00,735,4.71
25,10/05/2016 , 12:20:00,735,4.71
26,10/05/2016 , 12:25:00,735,4.71
27,10/05/2016 , 12:30:00,735,4.71
28,10/05/2016 , 12:35:00,734,4.65
29,10/05/2016 , 12:40:00,735,4.71
30,10/05/2016 , 12:45:00,734,4.65
31,10/05/2016 , 12:50:00,734,4.65
32,10/05/2016 , 12:55:00,734,4.65
33,10/05/2016 , 13:00:00,734,4.65
34,10/05/2016 , 13:05:00,734,4.65
35,10/05/2016 , 13:10:00,734,4.65
36,10/05/2016 , 13:15:00,734,4.65
37,10/05/2016 , 13:20:00,733,4.58
38,10/05/2016 , 13:25:00,733,4.58
39,10/05/2016 , 13:30:00,733,4.58
40,10/05/2016 , 13:35:00,733,4.58
41,10/05/2016 , 13:40:00,732,4.52
42,10/05/2016 , 13:45:00,732,4.52
43,10/05/2016 , 13:50:00,732,4.52
44,10/05/2016 , 13:55:00,732,4.52
45,10/05/2016 , 14:00:00,732,4.52
46,10/05/2016 , 14:05:00,732,4.52
47,10/05/2016 , 14:10:00,732,4.52
48,10/05/2016 , 14:15:00,731,4.45
49,10/05/2016 , 14:20:00,731,4.45
50,10/05/2016 , 14:25:00,731,4.45
51,10/05/2016 , 14:30:00,731,4.45
52,10/05/2016 , 14:35:00,731,4.45
53,10/05/2016 , 14:40:00,731,4.45
54,10/05/2016 , 14:45:00,731,4.45
55,10/05/2016 , 14:50:00,731,4.45
56,10/05/2016 , 14:55:00,731,4.45
57,10/05/2016 , 15:00:00,731,4.45
58,10/05/2016 , 15:05:00,731,4.45
59,10/05/2016 , 15:10:00,731,4.45
60,10/05/2016 , 15:15:00,731,4.45
61,10/05/2016 , 15:20:00,731,4.45
62,10/05/2016 , 15:25:00,731,4.45
63,10/05/2016 , 15:30:00,730,4.39
64,10/05/2016 , 15:35:00,730,4.39
65,10/05/2016 , 15:40:00,730,4.39
66,10/05/2016 , 15:45:00,730,4.39
67,10/05/2016 , 15:50:00,730,4.39
68,10/05/2016 , 15:55:00,730,4.39
69,10/05/2016 , 16:00:00,730,4.39
70,10/05/2016 , 16:05:00,730,4.39
71,10/05/2016 , 16:10:00,730,4.39
72,10/05/2016 , 16:15:00,731,4.45
73,10/05/2016 , 16:20:00,731,4.45
74,10/05/2016 , 16:25:00,731,4.45
75,10/05/2016 , 16:30:00,731,4.45
76,10/05/2016 , 16:35:00,731,4.45
77,10/05/2016 , 16:40:00,731,4.45
78,10/05/2016 , 16:45:00,731,4.45
79,10/05/2016 , 16:50:00,730,4.39
80,10/05/2016 , 16:55:00,730,4.39
81,10/05/2016 , 17:00:00,730,4.39
82,10/05/2016 , 17:05:00,730,4.39
83,10/05/2016 , 17:10:00,730,4.39
84,10/05/2016 , 17:15:00,730,4.39
85,10/05/2016 , 17:20:00,730,4.39
86,10/05/2016 , 17:25:00,730,4.39
87,10/05/2016 , 17:30:00,730,4.39
88,10/05/2016 , 17:35:00,731,4.45
89,10/05/2016 , 17:40:00,730,4.39
90,10/05/2016 , 17:45:00,730,4.39
91,10/05/2016 , 17:50:00,731,4.45
92,10/05/2016 , 17:55:00,731,4.45
93,10/05/2016 , 18:00:00,731,4.45
94,10/05/2016 , 18:05:00,731,4.45
95,10/05/2016 , 18:10:00,731,4.45
96,10/05/2016 , 18:15:00,731,4.45
97,10/05/2016 , 18:20:00,731,4.45
98,10/05/2016 , 18:25:00,731,4.45
99,10/05/2016 , 18:30:00,731,4.45
100,10/05/2016 , 18:35:00,731,4.45
101,10/05/2016 , 18:40:00,731,4.45
102,10/05/2016 , 18:45:00,732,4.52
