Site Name,WLR110,,,
Site Number,110,,,
Logger,Capacitive Water Level,,,
Logger Serial Number,40023,,,
,,,,
,,,,
Scan No,Date and Time,Capacitive Water Level,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
1,13/02/2015,11:50:00,859,12.52
2,13/02/2015,11:55:00,859,12.39
3,13/02/2015,12:00:00,858,12.32
4,13/02/2015,12:05:00,858,12.32
5,13/02/2015,12:10:00,858,12.32
6,13/02/2015,12:15:00,858,12.32
7,13/02/2015,12:20:00,857,12.26
8,13/02/2015,12:25:00,856,12.19
9,13/02/2015,12:30:00,855,12.13
10,13/02/2015,12:35:00,854,12.06
11,13/02/2015,12:40:00,854,12.06
12,13/02/2015,12:45:00,854,12.06
13,13/02/2015,12:50:00,853,12
14,13/02/2015,12:55:00,852,11.94
15,13/02/2015,13:00:00,854,12.06
16,13/02/2015,13:05:00,854,12.06
17,13/02/2015,13:10:00,852,11.94
18,13/02/2015,13:15:00,853,12
19,13/02/2015,13:20:00,854,12.06
20,13/02/2015,13:25:00,854,12.06
21,13/02/2015,13:30:00,854,12.06
22,13/02/2015,13:35:00,853,12
23,13/02/2015,13:40:00,854,12.06
24,13/02/2015,13:45:00,854,12.06
25,13/02/2015,13:50:00,853,12
26,13/02/2015,13:55:00,852,11.94
27,13/02/2015,14:00:00,852,11.94
28,13/02/2015,14:05:00,853,12
29,13/02/2015,14:10:00,853,12
30,13/02/2015,14:15:00,851,11.87
31,13/02/2015,14:20:00,854,12.06
32,13/02/2015,14:25:00,853,12
33,13/02/2015,14:30:00,853,12
34,13/02/2015,14:35:00,851,11.87
35,13/02/2015,14:40:00,851,11.87
36,13/02/2015,14:45:00,851,11.87
37,13/02/2015,14:50:00,851,11.87
38,13/02/2015,14:55:00,852,11.94
39,13/02/2015,15:00:00,851,11.87
40,13/02/2015,15:05:00,852,11.94
41,13/02/2015,15:10:00,852,11.94
42,13/02/2015,15:15:00,853,12
43,13/02/2015,15:20:00,851,11.87
44,13/02/2015,15:25:00,853,12
45,13/02/2015,15:30:00,851,11.87
46,13/02/2015,15:35:00,853,12
47,13/02/2015,15:40:00,855,12.13
48,13/02/2015,15:45:00,856,12.19
49,13/02/2015,15:50:00,855,12.13
50,13/02/2015,15:55:00,853,12
51,13/02/2015,16:00:00,853,12
52,13/02/2015,16:05:00,854,12.06
53,13/02/2015,16:10:00,854,12.06
54,13/02/2015,16:15:00,853,12
55,13/02/2015,16:20:00,854,12.06
56,13/02/2015,16:25:00,857,12.26
57,13/02/2015,16:30:00,853,12
58,13/02/2015,16:35:00,854,12.06
59,13/02/2015,16:40:00,853,12
60,13/02/2015,16:45:00,856,12.19
61,13/02/2015,16:50:00,853,12
62,13/02/2015,16:55:00,853,12
63,13/02/2015,17:00:00,856,12.19
64,13/02/2015,17:05:00,856,12.19
65,13/02/2015,17:10:00,857,12.26
66,13/02/2015,17:15:00,854,12.06
67,13/02/2015,17:20:00,854,12.06
68,13/02/2015,17:25:00,854,12.06
69,13/02/2015,17:30:00,854,12.06
70,13/02/2015,17:35:00,854,12.06
71,13/02/2015,17:40:00,854,12.06
72,13/02/2015,17:45:00,854,12.06
73,13/02/2015,17:50:00,854,12.06
74,13/02/2015,17:55:00,854,12.06
75,13/02/2015,18:00:00,854,12.06
76,13/02/2015,18:05:00,854,12.06
77,13/02/2015,18:10:00,854,12.06
78,13/02/2015,18:15:00,854,12.06
79,13/02/2015,18:20:00,854,12.06
80,13/02/2015,18:25:00,854,12.06
81,13/02/2015,18:30:00,854,12.06
82,13/02/2015,18:35:00,854,12.06
83,13/02/2015,18:40:00,854,12.06
84,13/02/2015,18:45:00,854,12.06
85,13/02/2015,18:50:00,853,12
86,13/02/2015,18:55:00,853,12
87,13/02/2015,19:00:00,853,12
88,13/02/2015,19:05:00,853,12
89,13/02/2015,19:10:00,853,12
90,13/02/2015,19:15:00,854,12.06
91,13/02/2015,19:20:00,853,12
92,13/02/2015,19:25:00,852,11.94
93,13/02/2015,19:30:00,852,11.94
94,13/02/2015,19:35:00,852,11.94
95,13/02/2015,19:40:00,854,12.06
96,13/02/2015,19:45:00,854,12.06
97,13/02/2015,19:50:00,854,12.06
