Site Name ,WLR110
Site Number ,110
Logger ,Capacitive Water Level
Logger Serial Number ,40023


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

11,23/04/2016 , 12:50:00,764,6.58
12,23/04/2016 , 12:55:00,763,6.52
13,23/04/2016 , 13:00:00,762,6.45
14,23/04/2016 , 13:05:00,761,6.39
15,23/04/2016 , 13:10:00,760,6.32
16,23/04/2016 , 13:15:00,759,6.26
17,23/04/2016 , 13:20:00,759,6.26
18,23/04/2016 , 13:25:00,758,6.19
19,23/04/2016 , 13:30:00,757,6.13
20,23/04/2016 , 13:35:00,756,6.06
21,23/04/2016 , 13:40:00,756,6.06
22,23/04/2016 , 13:45:00,755,6
23,23/04/2016 , 13:50:00,755,6
24,23/04/2016 , 13:55:00,755,6
25,23/04/2016 , 14:00:00,755,6
26,23/04/2016 , 14:05:00,754,5.94
27,23/04/2016 , 14:10:00,754,5.94
28,23/04/2016 , 14:15:00,754,5.94
29,23/04/2016 , 14:20:00,754,5.94
30,23/04/2016 , 14:25:00,753,5.87
31,23/04/2016 , 14:30:00,753,5.87
32,23/04/2016 , 14:35:00,753,5.87
33,23/04/2016 , 14:40:00,753,5.87
34,23/04/2016 , 14:45:00,752,5.81
35,23/04/2016 , 14:50:00,752,5.81
36,23/04/2016 , 14:55:00,752,5.81
37,23/04/2016 , 15:00:00,752,5.81
38,23/04/2016 , 15:05:00,752,5.81
39,23/04/2016 , 15:10:00,752,5.81
40,23/04/2016 , 15:15:00,752,5.81
41,23/04/2016 , 15:20:00,751,5.74
42,23/04/2016 , 15:25:00,751,5.74
43,23/04/2016 , 15:30:00,751,5.74
44,23/04/2016 , 15:35:00,751,5.74
45,23/04/2016 , 15:40:00,751,5.74
46,23/04/2016 , 15:45:00,750,5.68
47,23/04/2016 , 15:50:00,750,5.68
48,23/04/2016 , 15:55:00,750,5.68
49,23/04/2016 , 16:00:00,750,5.68
50,23/04/2016 , 16:05:00,750,5.68
51,23/04/2016 , 16:10:00,750,5.68
52,23/04/2016 , 16:15:00,749,5.61
53,23/04/2016 , 16:20:00,749,5.61
54,23/04/2016 , 16:25:00,749,5.61
55,23/04/2016 , 16:30:00,749,5.61
56,23/04/2016 , 16:35:00,749,5.61
57,23/04/2016 , 16:40:00,749,5.61
58,23/04/2016 , 16:45:00,749,5.61
59,23/04/2016 , 16:50:00,749,5.61
60,23/04/2016 , 16:55:00,749,5.61
61,23/04/2016 , 17:00:00,749,5.61
62,23/04/2016 , 17:05:00,749,5.61
63,23/04/2016 , 17:10:00,749,5.61
64,23/04/2016 , 17:15:00,749,5.61
65,23/04/2016 , 17:20:00,748,5.55
66,23/04/2016 , 17:25:00,748,5.55
67,23/04/2016 , 17:30:00,748,5.55
68,23/04/2016 , 17:35:00,748,5.55
69,23/04/2016 , 17:40:00,748,5.55
70,23/04/2016 , 17:45:00,748,5.55
71,23/04/2016 , 17:50:00,748,5.55
72,23/04/2016 , 17:55:00,748,5.55
73,23/04/2016 , 18:00:00,748,5.55
74,23/04/2016 , 18:05:00,748,5.55
75,23/04/2016 , 18:10:00,748,5.55
76,23/04/2016 , 18:15:00,748,5.55
77,23/04/2016 , 18:20:00,748,5.55
78,23/04/2016 , 18:25:00,748,5.55
79,23/04/2016 , 18:30:00,748,5.55
80,23/04/2016 , 18:35:00,748,5.55
81,23/04/2016 , 18:40:00,748,5.55
82,23/04/2016 , 18:45:00,748,5.55
83,23/04/2016 , 18:50:00,748,5.55
84,23/04/2016 , 18:55:00,748,5.55
85,23/04/2016 , 19:00:00,748,5.55
86,23/04/2016 , 19:05:00,748,5.55
87,23/04/2016 , 19:10:00,748,5.55
88,23/04/2016 , 19:15:00,748,5.55
89,23/04/2016 , 19:20:00,748,5.55
90,23/04/2016 , 19:25:00,748,5.55
91,23/04/2016 , 19:30:00,748,5.55
92,23/04/2016 , 19:35:00,748,5.55
93,23/04/2016 , 19:40:00,748,5.55
94,23/04/2016 , 19:45:00,748,5.55
95,23/04/2016 , 19:50:00,748,5.55
96,23/04/2016 , 19:55:00,748,5.55
97,23/04/2016 , 20:00:00,748,5.55
98,23/04/2016 , 20:05:00,748,5.55
99,23/04/2016 , 20:10:00,748,5.55
100,23/04/2016 , 20:15:00,748,5.55
101,23/04/2016 , 20:20:00,748,5.55
102,23/04/2016 , 20:25:00,748,5.55
103,23/04/2016 , 20:30:00,748,5.55
104,23/04/2016 , 20:35:00,748,5.55
105,23/04/2016 , 20:40:00,748,5.55
106,23/04/2016 , 20:45:00,748,5.55
107,23/04/2016 , 20:50:00,748,5.55
108,23/04/2016 , 20:55:00,748,5.55
109,23/04/2016 , 21:00:00,748,5.55
110,23/04/2016 , 21:05:00,748,5.55
111,23/04/2016 , 21:10:00,749,5.61
112,23/04/2016 , 21:15:00,749,5.61
113,23/04/2016 , 21:20:00,749,5.61
