Site Name ,WLR110,,,
Site Number ,110,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,40023,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,10/01/2015,12:50:00,909,17.1
2,10/01/2015,12:55:00,909,16.84
3,10/01/2015,13:00:00,909,16.84
4,10/01/2015,13:05:00,909,16.84
5,10/01/2015,13:10:00,909,16.84
6,10/01/2015,13:15:00,909,16.84
7,10/01/2015,13:20:00,909,16.84
8,10/01/2015,13:25:00,909,16.84
9,10/01/2015,13:30:00,909,16.84
10,10/01/2015,13:35:00,909,16.84
11,10/01/2015,13:40:00,909,16.84
12,10/01/2015,13:45:00,909,16.84
13,10/01/2015,13:50:00,909,16.84
14,10/01/2015,13:55:00,909,16.84
15,10/01/2015,14:00:00,909,16.84
16,10/01/2015,14:05:00,909,16.84
17,10/01/2015,14:10:00,909,16.84
18,10/01/2015,14:15:00,909,16.84
19,10/01/2015,14:20:00,908,16.77
20,10/01/2015,14:25:00,908,16.77
21,10/01/2015,14:30:00,908,16.77
22,10/01/2015,14:35:00,908,16.77
23,10/01/2015,14:40:00,908,16.77
24,10/01/2015,14:45:00,908,16.77
25,10/01/2015,14:50:00,908,16.77
26,10/01/2015,14:55:00,908,16.77
27,10/01/2015,15:00:00,908,16.77
28,10/01/2015,15:05:00,908,16.77
29,10/01/2015,15:10:00,908,16.77
30,10/01/2015,15:15:00,908,16.77
31,10/01/2015,15:20:00,908,16.77
32,10/01/2015,15:25:00,908,16.77
33,10/01/2015,15:30:00,907,16.71
34,10/01/2015,15:35:00,907,16.71
35,10/01/2015,15:40:00,907,16.71
36,10/01/2015,15:45:00,907,16.71
37,10/01/2015,15:50:00,907,16.71
38,10/01/2015,15:55:00,907,16.71
39,10/01/2015,16:00:00,907,16.71
40,10/01/2015,16:05:00,907,16.71
41,10/01/2015,16:10:00,907,16.71
42,10/01/2015,16:15:00,907,16.71
43,10/01/2015,16:20:00,906,16.65
44,10/01/2015,16:25:00,907,16.71
45,10/01/2015,16:30:00,906,16.65
46,10/01/2015,16:35:00,906,16.65
47,10/01/2015,16:40:00,906,16.65
48,10/01/2015,16:45:00,906,16.65
49,10/01/2015,16:50:00,906,16.65
50,10/01/2015,16:55:00,906,16.65
51,10/01/2015,17:00:00,906,16.65
52,10/01/2015,17:05:00,906,16.65
53,10/01/2015,17:10:00,906,16.65
54,10/01/2015,17:15:00,906,16.65
55,10/01/2015,17:20:00,906,16.65
56,10/01/2015,17:25:00,906,16.65
57,10/01/2015,17:30:00,906,16.65
58,10/01/2015,17:35:00,906,16.65
59,10/01/2015,17:40:00,906,16.65
60,10/01/2015,17:45:00,907,16.71
61,10/01/2015,17:50:00,907,16.71
62,10/01/2015,17:55:00,907,16.71
63,10/01/2015,18:00:00,907,16.71
64,10/01/2015,18:05:00,907,16.71
65,10/01/2015,18:10:00,907,16.71
66,10/01/2015,18:15:00,906,16.65
67,10/01/2015,18:20:00,906,16.65
68,10/01/2015,18:25:00,906,16.65
69,10/01/2015,18:30:00,906,16.65
70,10/01/2015,18:35:00,906,16.65
71,10/01/2015,18:40:00,906,16.65
72,10/01/2015,18:45:00,906,16.65
73,10/01/2015,18:50:00,906,16.65
74,10/01/2015,18:55:00,906,16.65
75,10/01/2015,19:00:00,906,16.65
76,10/01/2015,19:05:00,906,16.65
77,10/01/2015,19:10:00,906,16.65
78,10/01/2015,19:15:00,906,16.65
79,10/01/2015,19:20:00,906,16.65
80,10/01/2015,19:25:00,906,16.65
81,10/01/2015,19:30:00,906,16.65
82,10/01/2015,19:35:00,906,16.65
83,10/01/2015,19:40:00,906,16.65
84,10/01/2015,19:45:00,906,16.65
85,10/01/2015,19:50:00,906,16.65
86,10/01/2015,19:55:00,906,16.65
87,10/01/2015,20:00:00,906,16.65
88,10/01/2015,20:05:00,906,16.65
89,10/01/2015,20:10:00,906,16.65
90,10/01/2015,20:15:00,906,16.65
91,10/01/2015,20:20:00,906,16.65
92,10/01/2015,20:25:00,906,16.65
93,10/01/2015,20:30:00,907,16.71
94,10/01/2015,20:35:00,906,16.65
95,10/01/2015,20:40:00,907,16.71
