Site Name ,WLR110
Site Number ,110
Logger ,Capacitive Water Level
Logger Serial Number ,40023


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2016 , 13:05:00,746,5.42
2,30/05/2016 , 13:10:00,745,5.35
3,30/05/2016 , 13:15:00,746,5.42
4,30/05/2016 , 13:20:00,746,5.42
5,30/05/2016 , 13:25:00,746,5.42
6,30/05/2016 , 13:30:00,746,5.42
7,30/05/2016 , 13:35:00,747,5.48
8,30/05/2016 , 13:40:00,747,5.48
9,30/05/2016 , 13:45:00,747,5.48
10,30/05/2016 , 13:50:00,748,5.55
11,30/05/2016 , 13:55:00,748,5.55
12,30/05/2016 , 14:00:00,749,5.61
13,30/05/2016 , 14:05:00,749,5.61
14,30/05/2016 , 14:10:00,749,5.61
15,30/05/2016 , 14:15:00,750,5.68
16,30/05/2016 , 14:20:00,750,5.68
17,30/05/2016 , 14:25:00,751,5.74
18,30/05/2016 , 14:30:00,751,5.74
19,30/05/2016 , 14:35:00,751,5.74
20,30/05/2016 , 14:40:00,752,5.81
21,30/05/2016 , 14:45:00,752,5.81
22,30/05/2016 , 14:50:00,753,5.87
23,30/05/2016 , 14:55:00,753,5.87
24,30/05/2016 , 15:00:00,754,5.94
25,30/05/2016 , 15:05:00,755,6
26,30/05/2016 , 15:10:00,755,6
27,30/05/2016 , 15:15:00,756,6.06
28,30/05/2016 , 15:20:00,756,6.06
29,30/05/2016 , 15:25:00,756,6.06
30,30/05/2016 , 15:30:00,756,6.06
31,30/05/2016 , 15:35:00,756,6.06
32,30/05/2016 , 15:40:00,756,6.06
33,30/05/2016 , 15:45:00,756,6.06
34,30/05/2016 , 15:50:00,756,6.06
35,30/05/2016 , 15:55:00,756,6.06
36,30/05/2016 , 16:00:00,756,6.06
37,30/05/2016 , 16:05:00,756,6.06
38,30/05/2016 , 16:10:00,756,6.06
39,30/05/2016 , 16:15:00,756,6.06
40,30/05/2016 , 16:20:00,757,6.13
41,30/05/2016 , 16:25:00,757,6.13
42,30/05/2016 , 16:30:00,757,6.13
43,30/05/2016 , 16:35:00,757,6.13
44,30/05/2016 , 16:40:00,757,6.13
45,30/05/2016 , 16:45:00,758,6.19
46,30/05/2016 , 16:50:00,758,6.19
47,30/05/2016 , 16:55:00,758,6.19
48,30/05/2016 , 17:00:00,758,6.19
49,30/05/2016 , 17:05:00,758,6.19
50,30/05/2016 , 17:10:00,758,6.19
51,30/05/2016 , 17:15:00,758,6.19
52,30/05/2016 , 17:20:00,758,6.19
53,30/05/2016 , 17:25:00,758,6.19
54,30/05/2016 , 17:30:00,758,6.19
55,30/05/2016 , 17:35:00,758,6.19
56,30/05/2016 , 17:40:00,758,6.19
57,30/05/2016 , 17:45:00,757,6.13
58,30/05/2016 , 17:50:00,757,6.13
59,30/05/2016 , 17:55:00,757,6.13
60,30/05/2016 , 18:00:00,757,6.13
61,30/05/2016 , 18:05:00,756,6.06
62,30/05/2016 , 18:10:00,756,6.06
63,30/05/2016 , 18:15:00,756,6.06
64,30/05/2016 , 18:20:00,756,6.06
65,30/05/2016 , 18:25:00,756,6.06
66,30/05/2016 , 18:30:00,756,6.06
67,30/05/2016 , 18:35:00,756,6.06
68,30/05/2016 , 18:40:00,755,6
69,30/05/2016 , 18:45:00,755,6
70,30/05/2016 , 18:50:00,755,6
71,30/05/2016 , 18:55:00,755,6
72,30/05/2016 , 19:00:00,755,6
73,30/05/2016 , 19:05:00,755,6
74,30/05/2016 , 19:10:00,755,6
75,30/05/2016 , 19:15:00,754,5.94
76,30/05/2016 , 19:20:00,754,5.94
77,30/05/2016 , 19:25:00,754,5.94
78,30/05/2016 , 19:30:00,754,5.94
79,30/05/2016 , 19:35:00,753,5.87
80,30/05/2016 , 19:40:00,753,5.87
81,30/05/2016 , 19:45:00,753,5.87
82,30/05/2016 , 19:50:00,753,5.87
83,30/05/2016 , 19:55:00,753,5.87
84,30/05/2016 , 20:00:00,753,5.87
85,30/05/2016 , 20:05:00,753,5.87
86,30/05/2016 , 20:10:00,752,5.81
87,30/05/2016 , 20:15:00,752,5.81
88,30/05/2016 , 20:20:00,752,5.81
89,30/05/2016 , 20:25:00,752,5.81
90,30/05/2016 , 20:30:00,752,5.81
91,30/05/2016 , 20:35:00,752,5.81
92,30/05/2016 , 20:40:00,752,5.81
93,30/05/2016 , 20:45:00,752,5.81
94,30/05/2016 , 20:50:00,752,5.81
95,30/05/2016 , 20:55:00,752,5.81
96,30/05/2016 , 21:00:00,752,5.81
97,30/05/2016 , 21:05:00,751,5.74
98,30/05/2016 , 21:10:00,751,5.74
99,30/05/2016 , 21:15:00,751,5.74
100,30/05/2016 , 21:20:00,751,5.74
101,30/05/2016 , 21:25:00,751,5.74
102,30/05/2016 , 21:30:00,751,5.74
103,30/05/2016 , 21:35:00,751,5.74
