Site Name,WLR110,,,
Site Number,110,,,
Logger,Capacitive Water Level,,,
Logger Serial Number,40023,,,
,,,,
,,,,
Scan No,Date and Time,Capacitive Water Level,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
1,20/01/2014,11:26:14,860,0.13
2,20/01/2014,11:41:14,860,0.11
3,20/01/2014,11:56:14,860,0.11
4,20/01/2014,12:11:14,860,0.11
5,20/01/2014,12:26:14,860,0.11
6,20/01/2014,12:41:14,860,0.11
7,20/01/2014,12:56:14,859,0.11
8,20/01/2014,13:11:14,859,0.11
9,20/01/2014,13:26:14,859,0.11
10,20/01/2014,13:41:14,859,0.11
11,20/01/2014,13:56:14,858,0.11
12,20/01/2014,14:11:14,858,0.11
13,20/01/2014,14:26:14,857,0.11
14,20/01/2014,14:41:14,857,0.11
15,20/01/2014,14:56:14,857,0.11
16,20/01/2014,15:11:14,857,0.11
17,20/01/2014,15:26:14,857,0.11
18,20/01/2014,15:41:14,856,0.11
19,20/01/2014,15:56:14,856,0.11
20,20/01/2014,16:11:14,856,0.11
21,20/01/2014,16:26:14,856,0.11
22,20/01/2014,16:41:14,856,0.11
23,20/01/2014,16:56:14,855,0.11
24,20/01/2014,17:11:14,855,0.11
25,20/01/2014,17:26:14,855,0.11
26,20/01/2014,17:41:14,855,0.11
27,20/01/2014,17:56:14,856,0.11
28,20/01/2014,18:11:14,856,0.11
29,20/01/2014,18:26:14,856,0.11
30,20/01/2014,18:41:14,857,0.11
31,20/01/2014,18:56:14,856,0.11
32,20/01/2014,19:11:14,855,0.11
33,20/01/2014,19:26:14,854,0.11
34,20/01/2014,19:41:14,855,0.11
35,20/01/2014,19:56:14,855,0.11
36,20/01/2014,20:11:14,857,0.11
37,20/01/2014,20:26:14,858,0.11
38,20/01/2014,20:41:14,858,0.11
39,20/01/2014,20:56:14,858,0.11
40,20/01/2014,21:11:14,858,0.11
41,20/01/2014,21:26:14,858,0.11
42,20/01/2014,21:41:14,858,0.11
43,20/01/2014,21:56:14,858,0.11
44,20/01/2014,22:11:14,858,0.11
45,20/01/2014,22:26:14,858,0.11
46,20/01/2014,22:41:14,858,0.11
47,20/01/2014,22:56:14,858,0.11
48,20/01/2014,23:11:14,858,0.11
49,20/01/2014,23:26:14,858,0.11
50,20/01/2014,23:41:14,858,0.11
51,20/01/2014,23:56:14,858,0.11
52,21/01/2014,00:11:14,858,0.11
53,21/01/2014,00:26:14,858,0.11
54,21/01/2014,00:41:14,858,0.11
55,21/01/2014,00:56:14,858,0.11
56,21/01/2014,01:11:14,858,0.11
57,21/01/2014,01:26:14,858,0.11
58,21/01/2014,01:41:14,858,0.11
59,21/01/2014,01:56:14,858,0.11
60,21/01/2014,02:11:14,858,0.11
61,21/01/2014,02:26:14,858,0.11
62,21/01/2014,02:41:14,858,0.11
63,21/01/2014,02:56:14,858,0.11
64,21/01/2014,03:11:14,858,0.11
65,21/01/2014,03:26:14,858,0.11
66,21/01/2014,03:41:14,858,0.11
67,21/01/2014,03:56:14,858,0.11
68,21/01/2014,04:11:14,858,0.11
69,21/01/2014,04:26:14,858,0.11
70,21/01/2014,04:41:14,858,0.11
71,21/01/2014,04:56:14,858,0.11
72,21/01/2014,05:11:14,858,0.11
73,21/01/2014,05:26:14,858,0.11
74,21/01/2014,05:41:14,858,0.11
75,21/01/2014,05:56:14,858,0.11
76,21/01/2014,06:11:14,858,0.11
77,21/01/2014,06:26:14,858,0.11
78,21/01/2014,06:41:14,858,0.11
79,21/01/2014,06:56:14,858,0.11
80,21/01/2014,07:11:14,857,0.11
81,21/01/2014,07:26:14,858,0.11
82,21/01/2014,07:41:14,858,0.11
83,21/01/2014,07:56:14,859,0.11
84,21/01/2014,08:11:14,859,0.11
85,21/01/2014,08:26:14,860,0.11
86,21/01/2014,08:41:14,859,0.11
87,21/01/2014,08:56:14,860,0.11
88,21/01/2014,09:11:14,860,0.11
89,21/01/2014,09:26:14,860,0.11
90,21/01/2014,09:41:14,860,0.11
91,21/01/2014,09:56:14,860,0.11
92,21/01/2014,10:11:14,860,0.11
93,21/01/2014,10:26:14,860,0.11
94,21/01/2014,10:41:14,860,0.11
95,21/01/2014,10:56:14,859,0.11
