Site Name ,WLR110
Site Number ,110
Logger ,Capacitive Water Level
Logger Serial Number ,40023


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,19/02/2016 , 14:35:00,810,9.55
2,19/02/2016 , 14:40:00,810,9.55
3,19/02/2016 , 14:45:00,810,9.55
4,19/02/2016 , 14:50:00,810,9.55
5,19/02/2016 , 14:55:00,810,9.55
6,19/02/2016 , 15:00:00,810,9.55
7,19/02/2016 , 15:05:00,810,9.55
8,19/02/2016 , 15:10:00,810,9.55
9,19/02/2016 , 15:15:00,810,9.55
10,19/02/2016 , 15:20:00,810,9.55
11,19/02/2016 , 15:25:00,810,9.55
12,19/02/2016 , 15:30:00,810,9.55
13,19/02/2016 , 15:35:00,810,9.55
14,19/02/2016 , 15:40:00,810,9.55
15,19/02/2016 , 15:45:00,810,9.55
16,19/02/2016 , 15:50:00,810,9.55
17,19/02/2016 , 15:55:00,810,9.55
18,19/02/2016 , 16:00:00,809,9.48
19,19/02/2016 , 16:05:00,809,9.48
20,19/02/2016 , 16:10:00,809,9.48
21,19/02/2016 , 16:15:00,809,9.48
22,19/02/2016 , 16:20:00,809,9.48
23,19/02/2016 , 16:25:00,809,9.48
24,19/02/2016 , 16:30:00,808,9.42
25,19/02/2016 , 16:35:00,809,9.48
26,19/02/2016 , 16:40:00,809,9.48
27,19/02/2016 , 16:45:00,809,9.48
28,19/02/2016 , 16:50:00,809,9.48
29,19/02/2016 , 16:55:00,808,9.42
30,19/02/2016 , 17:00:00,808,9.42
31,19/02/2016 , 17:05:00,808,9.42
32,19/02/2016 , 17:10:00,808,9.42
33,19/02/2016 , 17:15:00,807,9.35
34,19/02/2016 , 17:20:00,807,9.35
35,19/02/2016 , 17:25:00,807,9.35
36,19/02/2016 , 17:30:00,807,9.35
37,19/02/2016 , 17:35:00,807,9.35
38,19/02/2016 , 17:40:00,807,9.35
39,19/02/2016 , 17:45:00,807,9.35
40,19/02/2016 , 17:50:00,807,9.35
41,19/02/2016 , 17:55:00,806,9.29
42,19/02/2016 , 18:00:00,806,9.29
43,19/02/2016 , 18:05:00,806,9.29
44,19/02/2016 , 18:10:00,806,9.29
45,19/02/2016 , 18:15:00,806,9.29
46,19/02/2016 , 18:20:00,806,9.29
47,19/02/2016 , 18:25:00,806,9.29
48,19/02/2016 , 18:30:00,806,9.29
49,19/02/2016 , 18:35:00,806,9.29
50,19/02/2016 , 18:40:00,806,9.29
51,19/02/2016 , 18:45:00,806,9.29
52,19/02/2016 , 18:50:00,806,9.29
53,19/02/2016 , 18:55:00,806,9.29
54,19/02/2016 , 19:00:00,807,9.35
55,19/02/2016 , 19:05:00,806,9.29
56,19/02/2016 , 19:10:00,806,9.29
57,19/02/2016 , 19:15:00,806,9.29
58,19/02/2016 , 19:20:00,806,9.29
59,19/02/2016 , 19:25:00,807,9.35
60,19/02/2016 , 19:30:00,806,9.29
61,19/02/2016 , 19:35:00,807,9.35
62,19/02/2016 , 19:40:00,807,9.35
63,19/02/2016 , 19:45:00,807,9.35
64,19/02/2016 , 19:50:00,807,9.35
65,19/02/2016 , 19:55:00,807,9.35
66,19/02/2016 , 20:00:00,807,9.35
67,19/02/2016 , 20:05:00,807,9.35
68,19/02/2016 , 20:10:00,807,9.35
69,19/02/2016 , 20:15:00,807,9.35
70,19/02/2016 , 20:20:00,807,9.35
71,19/02/2016 , 20:25:00,807,9.35
72,19/02/2016 , 20:30:00,807,9.35
73,19/02/2016 , 20:35:00,807,9.35
74,19/02/2016 , 20:40:00,807,9.35
75,19/02/2016 , 20:45:00,807,9.35
76,19/02/2016 , 20:50:00,807,9.35
77,19/02/2016 , 20:55:00,807,9.35
78,19/02/2016 , 21:00:00,807,9.35
79,19/02/2016 , 21:05:00,807,9.35
80,19/02/2016 , 21:10:00,808,9.42
81,19/02/2016 , 21:15:00,808,9.42
82,19/02/2016 , 21:20:00,808,9.42
83,19/02/2016 , 21:25:00,808,9.42
84,19/02/2016 , 21:30:00,808,9.42
85,19/02/2016 , 21:35:00,808,9.42
86,19/02/2016 , 21:40:00,808,9.42
87,19/02/2016 , 21:45:00,808,9.42
88,19/02/2016 , 21:50:00,808,9.42
89,19/02/2016 , 21:55:00,808,9.42
90,19/02/2016 , 22:00:00,808,9.42
91,19/02/2016 , 22:05:00,808,9.42
92,19/02/2016 , 22:10:00,808,9.42
93,19/02/2016 , 22:15:00,808,9.42
94,19/02/2016 , 22:20:00,808,9.42
95,19/02/2016 , 22:25:00,808,9.42
96,19/02/2016 , 22:30:00,808,9.42
97,19/02/2016 , 22:35:00,808,9.42
98,19/02/2016 , 22:40:00,808,9.42
99,19/02/2016 , 22:45:00,808,9.42
100,19/02/2016 , 22:50:00,808,9.42
101,19/02/2016 , 22:55:00,808,9.42
102,19/02/2016 , 23:00:00,808,9.42
