"","tips","mm","dt.tm","Unit_ID","Rank","cat","Unit_ID","Installati","Lat","Long","elevation","slope","aspect","x","y","z","coords.x1","coords.x2"
"1591",2.73,71.4714,2013-05-28 19:00:00,"TBRG 026",1,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"2447",1.91,50.0038,2013-07-03 11:00:00,"TBRG 026",2,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"19475",1.5,39.27,2015-07-19 18:00:00,"TBRG 026",3,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"1592",1.44,37.6992,2013-05-28 20:00:00,"TBRG 026",4,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"2439",1.35,35.343,2013-07-03 03:00:00,"TBRG 026",5,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"10783",1.35,35.343,2014-06-18 16:00:00,"TBRG 026",6,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"1973",1.32,34.5576,2013-06-13 17:00:00,"TBRG 026",7,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"2448",1.24,32.4632,2013-07-03 12:00:00,"TBRG 026",8,26,"TBRG 026","25/03/2013",14.41738,74.7389,516,3.431061,341.5254,471855.155058264,1593903.23006497,0,471855.155058264,1593903.23006497
"6823",2.33,60.2771,2013-05-28 19:00:00,"TBRG 001",1,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"7679",1.16,30.0092,2013-07-03 11:00:00,"TBRG 001",2,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"25590",0.99,25.6113,2015-07-19 18:00:00,"TBRG 001",3,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"6824",0.59,15.2633,2013-05-28 20:00:00,"TBRG 001",4,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"7671",0.51,13.1937,2013-07-03 03:00:00,"TBRG 001",5,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"16084",0.9,23.283,2014-06-18 16:00:00,"TBRG 001",6,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"7205",1.44,37.2528,2013-06-13 17:00:00,"TBRG 001",7,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"7680",1.12,28.9744,2013-07-03 12:00:00,"TBRG 001",8,1,"TBRG 001","17/08/2012",14.44696,74.69143,518,10.05108,154.8148,466742.555570567,1597181.12481595,0,466742.555570567,1597181.12481595
"6587",0.66,16.731,2013-05-28 19:00:00,"TBRG 002",1,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"7443",0.59,14.9565,2013-07-03 11:00:00,"TBRG 002",2,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"23766",0.48,12.168,2015-07-19 18:00:00,"TBRG 002",3,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"6588",0.42,10.647,2013-05-28 20:00:00,"TBRG 002",4,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"7435",0.61,15.4635,2013-07-03 03:00:00,"TBRG 002",5,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"15247",0.95,24.0825,2014-06-18 16:00:00,"TBRG 002",6,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"6969",1.32,33.462,2013-06-13 17:00:00,"TBRG 002",7,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"7444",0.72,18.252,2013-07-03 12:00:00,"TBRG 002",8,2,"TBRG 002","18/08/2012",14.46895,74.69709,550,4.299336,220.516,467355.801488634,1599612.4205179,0,467355.801488634,1599612.4205179
"6799",0.38,10.2524,2013-05-28 19:00:00,"TBRG 003",1,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"7655",0.06,1.6188,2013-07-03 11:00:00,"TBRG 003",2,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"25566",0.22,5.9356,2015-07-19 18:00:00,"TBRG 003",3,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"6800",2.43,65.5614,2013-05-28 20:00:00,"TBRG 003",4,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"7647",0.61,16.4578,2013-07-03 03:00:00,"TBRG 003",5,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"16060",1.15,31.027,2014-06-18 16:00:00,"TBRG 003",6,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"7181",0.94,25.3612,2013-06-13 17:00:00,"TBRG 003",7,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"7656",0.44,11.8712,2013-07-03 12:00:00,"TBRG 003",8,3,"TBRG 003","18/08/2012",14.47904,74.7575,513,1.430697,188.753,473867.324028879,1600720.63521621,0,473867.324028879,1600720.63521621
"6708",2.71,70.8665,2013-05-28 19:00:00,"TBRG 004",1,4,"TBRG 004","18/08/2012",14.42989,74.69007,540,2.167313,137.1215,466593.428126206,1595293.371479,0,466593.428126206,1595293.371479
"7564",1.43,37.3945,2013-07-03 11:00:00,"TBRG 004",2,4,"TBRG 004","18/08/2012",14.42989,74.69007,540,2.167313,137.1215,466593.428126206,1595293.371479,0,466593.428126206,1595293.371479
"25469",0.99,25.8885,2015-07-19 18:00:00,"TBRG 004",3,4,"TBRG 004","18/08/2012",14.42989,74.69007,540,2.167313,137.1215,466593.428126206,1595293.371479,0,466593.428126206,1595293.371479
"6709",0.69,18.0435,2013-05-28 20:00:00,"TBRG 004",4,4,"TBRG 004","18/08/2012",14.42989,74.69007,540,2.167313,137.1215,466593.428126206,1595293.371479,0,466593.428126206,1595293.371479
