Site Name ,WLR109,,,,
Site Number ,109,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44354,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
111,20/01/2017 , 20:30:00,2203,11.65
112,20/01/2017 , 20:35:00,2203,11.65
113,20/01/2017 , 20:40:00,2203,11.65
114,20/01/2017 , 20:45:00,2203,11.65
115,20/01/2017 , 20:50:00,2203,11.65
116,20/01/2017 , 20:55:00,2203,11.65
117,20/01/2017 , 21:00:00,2203,11.65
118,20/01/2017 , 21:05:00,2203,11.65
119,20/01/2017 , 21:10:00,2203,11.65
120,20/01/2017 , 21:15:00,2203,11.65
121,20/01/2017 , 21:20:00,2203,11.65
122,20/01/2017 , 21:25:00,2203,11.65
123,20/01/2017 , 21:30:00,2204,11.74
124,20/01/2017 , 21:35:00,2204,11.74
125,20/01/2017 , 21:40:00,2204,11.74
126,20/01/2017 , 21:45:00,2205,11.83
127,20/01/2017 , 21:50:00,2207,12
128,20/01/2017 , 21:55:00,2208,12.08
129,20/01/2017 , 22:00:00,2208,12.08
130,20/01/2017 , 22:05:00,2209,12.17
131,20/01/2017 , 22:10:00,2210,12.25
132,20/01/2017 , 22:15:00,2210,12.25
133,20/01/2017 , 22:20:00,2211,12.34
134,20/01/2017 , 22:25:00,2211,12.34
135,20/01/2017 , 22:30:00,2237,14.57
136,20/01/2017 , 22:35:00,2237,14.57
137,20/01/2017 , 22:40:00,2238,14.65
138,20/01/2017 , 22:45:00,2217,12.85
139,20/01/2017 , 22:50:00,2217,12.85
140,20/01/2017 , 22:55:00,2218,12.94
141,20/01/2017 , 23:00:00,2221,13.2
142,20/01/2017 , 23:05:00,2224,13.45
143,20/01/2017 , 23:10:00,2227,13.71
144,20/01/2017 , 23:15:00,2227,13.71
145,20/01/2017 , 23:20:00,2227,13.71
146,20/01/2017 , 23:25:00,2228,13.8
147,20/01/2017 , 23:30:00,2229,13.88
148,20/01/2017 , 23:35:00,2230,13.97
149,20/01/2017 , 23:40:00,2231,14.05
150,20/01/2017 , 23:45:00,2235,14.4
151,20/01/2017 , 23:50:00,2237,14.57
152,20/01/2017 , 23:55:00,2237,14.57
153,20/01/2017 , 24:00:00,2239,14.74
154,21/01/2017 , 00:05:00,2239,14.74
155,21/01/2017 , 00:10:00,2242,15
156,21/01/2017 , 00:15:00,2242,15
157,21/01/2017 , 00:20:00,2243,15.08
158,21/01/2017 , 00:25:00,2244,15.17
159,21/01/2017 , 00:30:00,2243,15.08
160,21/01/2017 , 00:35:00,2243,15.08
161,21/01/2017 , 00:40:00,2244,15.17
162,21/01/2017 , 00:45:00,2244,15.17
163,21/01/2017 , 00:50:00,2244,15.17
164,21/01/2017 , 00:55:00,2245,15.25
165,21/01/2017 , 01:00:00,2245,15.25
166,21/01/2017 , 01:05:00,2245,15.25
167,21/01/2017 , 01:10:00,2245,15.25
168,21/01/2017 , 01:15:00,2245,15.25
169,21/01/2017 , 01:20:00,2246,15.34
170,21/01/2017 , 01:25:00,2246,15.34
171,21/01/2017 , 01:30:00,2246,15.34
172,21/01/2017 , 01:35:00,2246,15.34
173,21/01/2017 , 01:40:00,2246,15.34
174,21/01/2017 , 01:45:00,2246,15.34
175,21/01/2017 , 01:50:00,2246,15.34
176,21/01/2017 , 01:55:00,2246,15.34
177,21/01/2017 , 02:00:00,2247,15.42
178,21/01/2017 , 02:05:00,2247,15.42
179,21/01/2017 , 02:10:00,2247,15.42
180,21/01/2017 , 02:15:00,2247,15.42
181,21/01/2017 , 02:20:00,2247,15.42
182,21/01/2017 , 02:25:00,2247,15.42
183,21/01/2017 , 02:30:00,2247,15.42
184,21/01/2017 , 02:35:00,2247,15.42
185,21/01/2017 , 02:40:00,2247,15.42
186,21/01/2017 , 02:45:00,2247,15.42
187,21/01/2017 , 02:50:00,2247,15.42
188,21/01/2017 , 02:55:00,2246,15.34
189,21/01/2017 , 03:00:00,2246,15.34
190,21/01/2017 , 03:05:00,2247,15.42
191,21/01/2017 , 03:10:00,2247,15.42
192,21/01/2017 , 03:15:00,2247,15.42
193,21/01/2017 , 03:20:00,2247,15.42
194,21/01/2017 , 03:25:00,2247,15.42
195,21/01/2017 , 03:30:00,2247,15.42
196,21/01/2017 , 03:35:00,2247,15.42
197,21/01/2017 , 03:40:00,2247,15.42
198,21/01/2017 , 03:45:00,2247,15.42
199,21/01/2017 , 03:50:00,2247,15.42
200,21/01/2017 , 03:55:00,2248,15.51
201,21/01/2017 , 04:00:00,2248,15.51
202,21/01/2017 , 04:05:00,2278,18.08
203,21/01/2017 , 04:10:00,2277,17.99
204,21/01/2017 , 04:15:00,2263,16.8
205,21/01/2017 , 04:20:00,2249,15.6
206,21/01/2017 , 04:25:00,2249,15.6
207,21/01/2017 , 04:30:00,2249,15.6
208,21/01/2017 , 04:35:00,2249,15.6
209,21/01/2017 , 04:40:00,2249,15.6
210,21/01/2017 , 04:45:00,2250,15.68
211,21/01/2017 , 04:50:00,2250,15.68
212,21/01/2017 , 04:55:00,2250,15.68
213,21/01/2017 , 05:00:00,2249,15.6
214,21/01/2017 , 05:05:00,2249,15.6
215,21/01/2017 , 05:10:00,2249,15.6
216,21/01/2017 , 05:15:00,2249,15.6
217,21/01/2017 , 05:20:00,2250,15.68
218,21/01/2017 , 05:25:00,2249,15.6
219,21/01/2017 , 05:30:00,2249,15.6
220,21/01/2017 , 05:35:00,2250,15.68
221,21/01/2017 , 05:40:00,2249,15.6
222,21/01/2017 , 05:45:00,2249,15.6
223,21/01/2017 , 05:50:00,2249,15.6
224,21/01/2017 , 05:55:00,2250,15.68
225,21/01/2017 , 06:00:00,2250,15.68
226,21/01/2017 , 06:05:00,2249,15.6
227,21/01/2017 , 06:10:00,2250,15.68
228,21/01/2017 , 06:15:00,2250,15.68
229,21/01/2017 , 06:20:00,2250,15.68
230,21/01/2017 , 06:25:00,2250,15.68
231,21/01/2017 , 06:30:00,2250,15.68
232,21/01/2017 , 06:35:00,2252,15.85
233,21/01/2017 , 06:40:00,2250,15.68
234,21/01/2017 , 06:45:00,2250,15.68
235,21/01/2017 , 06:50:00,2251,15.77
236,21/01/2017 , 06:55:00,2250,15.68
237,21/01/2017 , 07:00:00,2251,15.77
238,21/01/2017 , 07:05:00,2251,15.77
239,21/01/2017 , 07:10:00,2250,15.68
240,21/01/2017 , 07:15:00,2250,15.68
241,21/01/2017 , 07:20:00,2250,15.68
242,21/01/2017 , 07:25:00,2250,15.68
243,21/01/2017 , 07:30:00,2250,15.68
244,21/01/2017 , 07:35:00,2250,15.68
245,21/01/2017 , 07:40:00,2259,16.45
246,21/01/2017 , 07:45:00,2277,17.99
247,21/01/2017 , 07:50:00,2250,15.68
248,21/01/2017 , 07:55:00,2251,15.77
249,21/01/2017 , 08:00:00,2251,15.77
250,21/01/2017 , 08:05:00,2250,15.68
251,21/01/2017 , 08:10:00,2251,15.77
252,21/01/2017 , 08:15:00,2250,15.68
253,21/01/2017 , 08:20:00,2256,16.2
254,21/01/2017 , 08:25:00,2256,16.2
255,21/01/2017 , 08:30:00,2256,16.2
256,21/01/2017 , 08:35:00,2252,15.85
257,21/01/2017 , 08:40:00,2252,15.85
258,21/01/2017 , 08:45:00,2251,15.77
259,21/01/2017 , 08:50:00,2251,15.77
260,21/01/2017 , 08:55:00,2251,15.77
261,21/01/2017 , 09:00:00,2252,15.85
262,21/01/2017 , 09:05:00,2252,15.85
263,21/01/2017 , 09:10:00,2253,15.94
264,21/01/2017 , 09:15:00,2253,15.94
265,21/01/2017 , 09:20:00,2252,15.85
266,21/01/2017 , 09:25:00,2253,15.94
267,21/01/2017 , 09:30:00,2253,15.94
268,21/01/2017 , 09:35:00,2253,15.94
269,21/01/2017 , 09:40:00,2254,16.02
270,21/01/2017 , 09:45:00,2254,16.02
