Site Name ,WLR103A,,,,
Site Number ,103,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1745,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
111,20/01/2017 , 00:05:00,2051,7.67
112,20/01/2017 , 00:10:00,2052,7.72
113,20/01/2017 , 00:15:00,2051,7.67
114,20/01/2017 , 00:20:00,2052,7.72
115,20/01/2017 , 00:25:00,2053,7.76
116,20/01/2017 , 00:30:00,2053,7.76
117,20/01/2017 , 00:35:00,2053,7.76
118,20/01/2017 , 00:40:00,2053,7.76
119,20/01/2017 , 00:45:00,2053,7.76
120,20/01/2017 , 00:50:00,2054,7.81
121,20/01/2017 , 00:55:00,2056,7.91
122,20/01/2017 , 01:00:00,2057,7.95
123,20/01/2017 , 01:05:00,2058,8
124,20/01/2017 , 01:10:00,2058,8
125,20/01/2017 , 01:15:00,2058,8
126,20/01/2017 , 01:20:00,2060,8.1
127,20/01/2017 , 01:25:00,2061,8.14
128,20/01/2017 , 01:30:00,2060,8.1
129,20/01/2017 , 01:35:00,2060,8.1
130,20/01/2017 , 01:40:00,2061,8.14
131,20/01/2017 , 01:45:00,2062,8.19
132,20/01/2017 , 01:50:00,2062,8.19
133,20/01/2017 , 01:55:00,2062,8.19
134,20/01/2017 , 02:00:00,2062,8.19
135,20/01/2017 , 02:05:00,2061,8.14
136,20/01/2017 , 02:10:00,2062,8.19
137,20/01/2017 , 02:15:00,2064,8.29
138,20/01/2017 , 02:20:00,2065,8.34
139,20/01/2017 , 02:25:00,2066,8.38
140,20/01/2017 , 02:30:00,2066,8.38
141,20/01/2017 , 02:35:00,2067,8.43
142,20/01/2017 , 02:40:00,2067,8.43
143,20/01/2017 , 02:45:00,2068,8.48
144,20/01/2017 , 02:50:00,2068,8.48
145,20/01/2017 , 02:55:00,2068,8.48
146,20/01/2017 , 03:00:00,2069,8.53
147,20/01/2017 , 03:05:00,2069,8.53
148,20/01/2017 , 03:10:00,2070,8.57
149,20/01/2017 , 03:15:00,2069,8.53
150,20/01/2017 , 03:20:00,2069,8.53
151,20/01/2017 , 03:25:00,2070,8.57
152,20/01/2017 , 03:30:00,2069,8.53
153,20/01/2017 , 03:35:00,2070,8.57
154,20/01/2017 , 03:40:00,2069,8.53
155,20/01/2017 , 03:45:00,2069,8.53
156,20/01/2017 , 03:50:00,2069,8.53
157,20/01/2017 , 03:55:00,2070,8.57
158,20/01/2017 , 04:00:00,2070,8.57
159,20/01/2017 , 04:05:00,2071,8.62
160,20/01/2017 , 04:10:00,2071,8.62
161,20/01/2017 , 04:15:00,2071,8.62
162,20/01/2017 , 04:20:00,2072,8.67
163,20/01/2017 , 04:25:00,2072,8.67
164,20/01/2017 , 04:30:00,2072,8.67
165,20/01/2017 , 04:35:00,2073,8.72
166,20/01/2017 , 04:40:00,2073,8.72
167,20/01/2017 , 04:45:00,2074,8.76
168,20/01/2017 , 04:50:00,2074,8.76
169,20/01/2017 , 04:55:00,2075,8.81
170,20/01/2017 , 05:00:00,2076,8.86
171,20/01/2017 , 05:05:00,2076,8.86
172,20/01/2017 , 05:10:00,2076,8.86
173,20/01/2017 , 05:15:00,2077,8.91
174,20/01/2017 , 05:20:00,2077,8.91
175,20/01/2017 , 05:25:00,2078,8.95
176,20/01/2017 , 05:30:00,2078,8.95
177,20/01/2017 , 05:35:00,2078,8.95
178,20/01/2017 , 05:40:00,2078,8.95
179,20/01/2017 , 05:45:00,2079,9
180,20/01/2017 , 05:50:00,2080,9.05
181,20/01/2017 , 05:55:00,2080,9.05
182,20/01/2017 , 06:00:00,2080,9.05
183,20/01/2017 , 06:05:00,2081,9.1
184,20/01/2017 , 06:10:00,2081,9.1
185,20/01/2017 , 06:15:00,2081,9.1
186,20/01/2017 , 06:20:00,2082,9.15
187,20/01/2017 , 06:25:00,2082,9.15
188,20/01/2017 , 06:30:00,2082,9.15
189,20/01/2017 , 06:35:00,2082,9.15
190,20/01/2017 , 06:40:00,2081,9.1
191,20/01/2017 , 06:45:00,2082,9.15
192,20/01/2017 , 06:50:00,2082,9.15
193,20/01/2017 , 06:55:00,2083,9.19
194,20/01/2017 , 07:00:00,2083,9.19
195,20/01/2017 , 07:05:00,2084,9.24
196,20/01/2017 , 07:10:00,2085,9.29
197,20/01/2017 , 07:15:00,2085,9.29
198,20/01/2017 , 07:20:00,2085,9.29
199,20/01/2017 , 07:25:00,2085,9.29
200,20/01/2017 , 07:30:00,2085,9.29
201,20/01/2017 , 07:35:00,2086,9.34
202,20/01/2017 , 07:40:00,2086,9.34
203,20/01/2017 , 07:45:00,2086,9.34
204,20/01/2017 , 07:50:00,2088,9.43
205,20/01/2017 , 07:55:00,2089,9.48
206,20/01/2017 , 08:00:00,2089,9.48
207,20/01/2017 , 08:05:00,2085,9.29
208,20/01/2017 , 08:10:00,2078,8.95
209,20/01/2017 , 08:15:00,2073,8.72
